Task,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max
Hanzi,158,0.9799578059050632,0.08539404301183257,1.0,1.0,1.0,0.0,0.166666667,1.0
Dots,158,0.9836497890316457,0.08116001507133859,1.0,1.0,1.0,0.0,0.166666667,1.0
STT,158,0.9504219409303798,0.12264698802143208,1.0,1.0,1.0,0.0,0.166666667,1.0
