Task,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max
W,158,3.7625900818734173,1.4788220669551533,3.39832058,2.743395737,4.29335659875,1.5499608617499998,1.693591208,7.993277733
C,158,4.810428539917721,2.338935306022026,4.188818328,3.09469910425,5.9322104165,2.83751131225,1.566201507,14.63699762
CW,158,9.00450564514557,5.437479370184999,6.9979284445,4.8862061290000005,11.55077985,6.664573720999999,2.80232221,33.9772173
