Outcome,Model,Predictors,N,N_Positive,N_Negative,Validation,AUC,AUC_CI_Low_DeLong,AUC_CI_High_DeLong
WD-CI vs WD-CN,Traditional_Stroop,Behavior_ZDev__Overall_Accuracy_W; Behavior_ZDev__Card_Completion_Time_W; Behavior_ZDev__Overall_Accuracy_CW; Behavior_ZDev__Card_Completion_Time_CW; Behavior_ZDev__Accuracy_Cost_CW_vs_W; Behavior_ZDev__Completion_Time_Cost_CW_vs_W,43,12,31,Leave-one-subject-out cross-validation,0.8467741935483871,0.7277296568567069,0.9658187302400674
WD-CI vs WD-CN,Expanded_Acoustic,W__Mean_Abs_Deviation_Z; W__RMS_Deviation_Z; CW__Mean_Abs_Deviation_Z; CW__RMS_Deviation_Z; CW_minus_W__Mean_Abs_Deviation_Z; CW_minus_W__RMS_Deviation_Z,43,12,31,Leave-one-subject-out cross-validation,0.7795698924731183,0.6056919598809891,0.9534478250652474
WD-CI vs WD-CN,Combined_Traditional_Expanded_Acoustic,Behavior_ZDev__Overall_Accuracy_W; Behavior_ZDev__Card_Completion_Time_W; Behavior_ZDev__Overall_Accuracy_CW; Behavior_ZDev__Card_Completion_Time_CW; Behavior_ZDev__Accuracy_Cost_CW_vs_W; Behavior_ZDev__Completion_Time_Cost_CW_vs_W; W__Mean_Abs_Deviation_Z; W__RMS_Deviation_Z; CW__Mean_Abs_Deviation_Z; CW__RMS_Deviation_Z; CW_minus_W__Mean_Abs_Deviation_Z; CW_minus_W__RMS_Deviation_Z,43,12,31,Leave-one-subject-out cross-validation,0.8575268817204301,0.7415591662679009,0.9734945971729594
