Feature,English_Description,Utterance_Interaction_Coef,Utterance_P_Raw,Utterance_P_FDR,Utterance_Significant_FDR,Utterance_Status,Trial_Interaction_Coef,Trial_P_Raw,Trial_P_FDR,Trial_Significant_FDR,Trial_Status,More_Sensitive_Model
Gap_Before,Hesitation duration (response latency),0.35187967338486703,6.027440474095933e-15,5.424696426686339e-13,True,ok,0.35191069215150284,1.90793149931478e-22,1.717138349383302e-20,True,ok,Trial-by-Trial
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.2219700418330951,0.00019003065384036314,0.00855137942281634,True,ok,0.2197355194017857,3.0923664090705045e-13,1.391564884081727e-11,True,ok,Trial-by-Trial
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.21242561425010018,0.0005492256092462828,0.016476768277388486,True,ok,0.2111079945029161,9.749850833928326e-10,2.9249552501784978e-08,True,ok,Trial-by-Trial
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.16447768602579826,0.0013165639571185489,0.02962268903516735,True,ok,-0.16361219394860665,1.8123649126146804e-07,4.077821053383031e-06,True,ok,Trial-by-Trial
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.11385169433755546,0.16461529682811596,0.4629805223290761,False,ok,-0.11324345116878734,1.2317264506092907e-06,2.2171076110967235e-05,True,ok,Trial-by-Trial
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.12588106726162382,0.12977699644954735,0.42627998079606866,False,ok,0.12587124396633967,4.589097956541218e-05,0.0006883646934811826,True,ok,Trial-by-Trial
spectralFluxV_sma3nz_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.14059659868095548,0.011416721583167045,0.08562541187375285,False,ok,0.1390117008482958,8.538492756308115e-05,0.001097806211525329,True,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.1392143182841263,0.00648486435892153,0.08012097004230095,False,ok,0.13785939630459731,9.773307470484006e-05,0.0010994970904294507,True,ok,Trial-by-Trial
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.10329006454168421,0.2358891860259149,0.6192075701280054,False,ok,-0.10268683046216925,0.0002435568246414816,0.0024355682464148156,True,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],0.12038649985138888,0.010529589808929134,0.08562541187375285,False,ok,0.1186340230838048,0.0002825419656683853,0.0025428776910154677,True,ok,Trial-by-Trial
jitterLocal_sma3nz_amean,Jitter-mean [roughness],0.12791694022588618,0.005653073359109569,0.08012097004230095,False,ok,0.12663884540157774,0.00043107265941963674,0.0035269581225243008,True,ok,Trial-by-Trial
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],0.1346235063240136,0.0068844981111865124,0.08012097004230095,False,ok,0.1347063302706084,0.000994042528894575,0.007455318966709312,True,ok,Trial-by-Trial
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.10255423956245463,0.08289056829293459,0.35611091704585957,False,ok,0.10287138413096764,0.0013195883885251884,0.00848306821194764,True,ok,Trial-by-Trial
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.08896467316166051,0.1555646441172859,0.4629805223290761,False,ok,-0.08882552193110223,0.0012866298258454858,0.00848306821194764,True,ok,Trial-by-Trial
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.1190628720477366,0.008456527355358824,0.08012097004230095,False,ok,0.11863431048177585,0.0017008099898483235,0.010204859939089941,True,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],0.1049755106865064,0.008586004349049992,0.08012097004230095,False,ok,0.10188924031490626,0.003360267764668761,0.01880736222260547,True,ok,Trial-by-Trial
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.11501243384731186,0.028281045200706824,0.15908087925397588,False,ok,0.11519941277854906,0.003552501753158811,0.01880736222260547,True,ok,Trial-by-Trial
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],0.07712810461599073,0.42910649212502017,0.8050404130631467,False,ok,0.07729447901236551,0.00405171841689476,0.0202585920844738,True,ok,Trial-by-Trial
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,0.09835169926879717,0.008902330004700105,0.08012097004230095,False,ok,0.09809770486876937,0.005609431201421134,0.026570989901468528,True,ok,Trial-by-Trial
slopeUV0-500_sma3nz_amean,slopeUV0-500-mean,0.08918171569286246,0.022883253921250766,0.13796651894837847,False,ok,0.08918912826957504,0.006645294573435461,0.029903825580459575,True,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],-0.06333447828636495,0.4972956201694393,0.8050404130631467,False,ok,-0.06224706082971425,0.013716693402266134,0.05878582886685486,False,ok,Trial-by-Trial
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],-0.07628546175700304,0.0705264479841896,0.3389244599386607,False,ok,-0.07687434122938645,0.014431875261101975,0.059039489704508084,False,ok,Trial-by-Trial
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],-0.08395683947363702,0.10137382527626952,0.3801518447860107,False,ok,-0.08241548349210566,0.016929362815470687,0.06624533275618966,False,ok,Trial-by-Trial
jitterLocal_sma3nz_stddevNorm,Jitter-coefficient of variation [roughness],0.08203705736304598,0.07155071932038393,0.3389244599386607,False,ok,0.08056061423801936,0.01884349558886574,0.06930986297134838,False,ok,Trial-by-Trial
loudness_sma3_percentile80.0,Loudness-80th percentile [intensity],0.057156103999316116,0.5365618042206207,0.8050404130631467,False,ok,0.0573783977142095,0.019553259426130766,0.06930986297134838,False,ok,Trial-by-Trial
spectralFlux_sma3_amean,Spectral flux-mean [timbre change],0.06042507445406123,0.539562311523287,0.8050404130631467,False,ok,0.06060071989632572,0.020022849302833975,0.06930986297134838,False,ok,Trial-by-Trial
StddevVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,0.09361655667238428,0.02299441982472974,0.13796651894837847,False,ok,0.09133171390753561,0.02093562090869061,0.06978540302896871,False,ok,Trial-by-Trial
alphaRatioUV_sma3nz_amean,Alpha ratio-mean [energy distribution],-0.08411057603480522,0.058269498207024054,0.30848557874306853,False,ok,-0.08407384747865916,0.026454310007210508,0.08503171073746235,False,ok,Trial-by-Trial
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.07383556133319669,0.2235601236103817,0.6097094280283137,False,ok,0.07406580081052784,0.02796362196049513,0.0867836543601573,False,ok,Trial-by-Trial
Duration,Word duration (articulation lengthening),0.08997771591566894,0.09078137742306115,0.35611091704585957,False,ok,0.08674888882657772,0.03349240411404431,0.09419738657074962,False,ok,Trial-by-Trial
slopeUV500-1500_sma3nz_amean,slopeUV500-1500-mean,-0.07753742282312628,0.08355890282611267,0.35611091704585957,False,ok,-0.07792681334505311,0.03321140310573987,0.09419738657074962,False,ok,Trial-by-Trial
VoicedSegmentsPerSec,VoicedSegmentsPerSec,0.09015506672918508,0.11543847026094518,0.41557849293940263,False,ok,0.09079823952899733,0.03144558878800896,0.09419738657074962,False,ok,Trial-by-Trial
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,0.10707885487218853,0.021887077255828544,0.13796651894837847,False,ok,0.10604842365230312,0.055811970488253135,0.14803252817128465,False,ok,Utterance-level
mfcc1V_sma3nz_amean,MFCC coefficient 1-mean [vocal tract feature],-0.05364067991034009,0.38234987334861104,0.8050404130631467,False,ok,-0.053307049730628345,0.0559233995313742,0.14803252817128465,False,ok,Trial-by-Trial
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,0.055529641683031594,0.24080294393866877,0.6192075701280054,False,ok,0.05562558849562298,0.07859288244636337,0.2020959834335058,False,ok,Trial-by-Trial
StddevUnvoicedSegmentLength,StddevUnvoicedSegmentLength,0.06682381684692146,0.09100612324505299,0.35611091704585957,False,ok,0.06362054006623945,0.09901193045214524,0.24513209354977245,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],0.06025978957662752,0.13262043846988802,0.42627998079606866,False,ok,0.058933820978546235,0.10077652734823977,0.24513209354977245,False,ok,Trial-by-Trial
