Outcome,Traditional_Stroop_Model_AUC_95CI,Acoustic_Model_AUC_95CI,Combined_Model_AUC_95CI
WD-CI vs WD-CN,0.847 (0.728-0.966),0.745 (0.555-0.934),0.852 (0.735-0.970)
MoCA-CI vs MoCA-CN (overall substance-use cohort),0.653 (0.509-0.798),0.763 (0.634-0.891),0.709 (0.573-0.846)
