Metric,Reference_N,Reference_Age_Mean,Reference_Age_SD,Intercept,Age_Z_Coefficient,Residual_SD_Sqrt_SSE_Over_N_Minus_2,R_Squared
Overall_Accuracy_Hanzi,158,39.91772151898734,19.079773927366293,0.9799578059050633,-0.012605655026383805,0.0847287787057959,0.02179092589857845
Card_Completion_Time_Hanzi,157,39.78343949044586,19.065783040983824,7.663269426751594,0.8552577508179635,1.861074006157272,0.17529125509280208
Overall_Accuracy_STT,158,39.91772151898734,19.079773927366293,0.9504219409303797,-0.04027492163633821,0.11621635587571556,0.1078339797546537
Card_Completion_Time_STT,155,39.825806451612905,18.894150949226745,13.899481935483864,4.126349631501237,4.0572645215077605,0.5100693917959731
Accuracy_Cost_STT_vs_Hanzi,158,39.91772151898734,19.079773927366293,0.02953586497468354,0.02766926660995439,0.14229427937064767,0.03665858524629695
Completion_Time_Cost_STT_vs_Hanzi,154,39.688311688311686,18.877838956483373,6.163774025974025,3.2580949542512387,4.18781351612357,0.37859528074940973
