Outcome,Model,Predictors,N,N_Positive,N_Negative,Validation,AUC,AUC_CI_Low_DeLong,AUC_CI_High_DeLong
MoCA-CI vs MoCA-CN: HC: Full sample,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,30,8,22,Leave-one-subject-out cross-validation,0.6193181818181818,0.40395511635484116,0.8346812472815224
Drug vs HC: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,50,23,27,Leave-one-subject-out cross-validation,0.5748792270531401,0.4127536847358311,0.7370047693704491
Drug vs HC: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,23,27,Leave-one-subject-out cross-validation,0.4057971014492754,0.24024408041012418,0.5713501224884265
Drug vs HC: Complete 12 items in all tasks,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,23,27,Leave-one-subject-out cross-validation,0.5169082125603864,0.3509036949539118,0.682912730166861
MoCA-CI vs MoCA-CN: Overall: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,50,18,32,Leave-one-subject-out cross-validation,0.6180555555555556,0.4546015156932515,0.7815095954178597
MoCA-CI vs MoCA-CN: Overall: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,18,32,Leave-one-subject-out cross-validation,0.7152777777777778,0.5612682053441459,0.8692873502114097
MoCA-CI vs MoCA-CN: Overall: Complete 12 items in all tasks,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,50,18,32,Leave-one-subject-out cross-validation,0.6892361111111112,0.5250852750216064,0.8533869472006159
MoCA-CI vs MoCA-CN: Drug: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,23,12,11,Leave-one-subject-out cross-validation,0.6136363636363636,0.3724894984760547,0.8547832287966726
MoCA-CI vs MoCA-CN: Drug: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,23,12,11,Leave-one-subject-out cross-validation,0.696969696969697,0.46375778337335144,0.9301816105660425
MoCA-CI vs MoCA-CN: Drug: Complete 12 items in all tasks,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,23,12,11,Leave-one-subject-out cross-validation,0.6212121212121212,0.37926039373935294,0.8631638486848895
MoCA-CI vs MoCA-CN: HC: Complete 12 items in all tasks,Behavioral_Task_Z_Deviations,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT,27,6,21,Leave-one-subject-out cross-validation,0.42857142857142855,0.1825226584310697,0.6746201987117874
MoCA-CI vs MoCA-CN: HC: Complete 12 items in all tasks,Acoustic_Deviation,Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,27,6,21,Leave-one-subject-out cross-validation,0.5476190476190477,0.26658908802733783,0.8286490072107575
MoCA-CI vs MoCA-CN: HC: Complete 12 items in all tasks,Combined_Task_Behavior_Acoustic,Behavior_ZDev__Overall_Accuracy_Hanzi; Behavior_ZDev__Overall_Accuracy_Dots; Behavior_ZDev__Overall_Accuracy_STT; Behavior_ZDev__Total_Hesitation_Duration_Hanzi; Behavior_ZDev__Total_Hesitation_Duration_Dots; Behavior_ZDev__Total_Hesitation_Duration_STT; Mean_Abs_Deviation_Z; RMS_Deviation_Z; N_Features_AbsZ_GE_1_96; N_Features_AbsZ_GE_2_58,27,6,21,Leave-one-subject-out cross-validation,0.5714285714285714,0.3020033966485305,0.8408537462086123
