Feature,English_Description,Utterance_Interaction_Coef,Utterance_P_Raw,Utterance_P_FDR,Utterance_Significant_FDR,Utterance_Status,Trial_Interaction_Coef,Trial_P_Raw,Trial_P_FDR,Trial_Significant_FDR,Trial_Status,More_Sensitive_Model
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],-0.07916770595979444,0.3960062517208045,0.7463762209116962,False,ok,-0.07842174111974616,0.004059846024536974,0.013595811368305481,True,ok,Trial-by-Trial
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,0.11873328495260485,0.011032421245403696,0.054008707664115495,False,ok,0.11856031163976406,0.009617504646551613,0.030244858197929478,True,ok,Trial-by-Trial
F2amplitudeLogRelF0_sma3nz_amean,F2-mean [tongue position],-0.08494233110952576,0.057842857070454605,0.17185752633563897,False,ok,-0.08445950664359414,0.009833587849040098,0.030244858197929478,True,ok,Trial-by-Trial
slopeV0-500_sma3nz_amean,slopeV0-500-mean,-0.07464488627537014,0.39816345904797457,0.7463762209116962,False,ok,-0.07353875521200058,0.010085277085167202,0.030244858197929478,True,ok,Trial-by-Trial
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],0.08085720464015955,0.40636038694081233,0.7463762209116962,False,ok,0.08095615140163609,0.01041767337928682,0.030244858197929478,True,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],0.09674469026914947,0.019141716742747335,0.07830702303851184,False,ok,0.09576948062787555,0.01238861138213957,0.03484296951226754,True,ok,Trial-by-Trial
StddevUnvoicedSegmentLength,StddevUnvoicedSegmentLength,0.08091200238808115,0.045001617327289974,0.13966019170538266,False,ok,0.07635859199253549,0.021236513038998185,0.05791776283363142,False,ok,Trial-by-Trial
Duration,Word duration (articulation lengthening),0.10985230963366777,0.04435198506992938,0.13966019170538266,False,ok,0.10868209367470856,0.024823721504456994,0.06383242672574656,False,ok,Trial-by-Trial
jitterLocal_sma3nz_stddevNorm,Jitter-coefficient of variation [roughness],0.08755313384868285,0.05919537018227565,0.17185752633563897,False,ok,0.08664991898342889,0.024783707772701873,0.06383242672574656,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],-0.04432277882154299,0.657044010127356,0.9106581928167804,False,ok,-0.04377220506560979,0.05197097053968455,0.12992742634921137,False,ok,Trial-by-Trial
spectralFlux_sma3_amean,Spectral flux-mean [timbre change],0.05897295813096756,0.5488065329715033,0.8702904188885696,False,ok,0.059074269018747336,0.05895292533155196,0.1433990075632345,False,ok,Trial-by-Trial
VoicedSegmentsPerSec,VoicedSegmentsPerSec,0.0877964563919163,0.1015682025490831,0.2856605696692962,False,ok,0.08820512525991558,0.06094319571643894,0.14348877064071663,False,ok,Trial-by-Trial
loudness_sma3_percentile80.0,Loudness-80th percentile [intensity],0.052473870969064584,0.5641011483298866,0.8702904188885696,False,ok,0.05274639962883802,0.062178467277643874,0.14348877064071663,False,ok,Trial-by-Trial
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],-0.05604887501444651,0.2161343724872239,0.5360746269900101,False,ok,-0.055969575537252916,0.08849766240315025,0.19842641093593913,False,ok,Trial-by-Trial
slopeV500-1500_sma3nz_amean,slopeV500-1500-mean,0.05278316393102203,0.22038623554033746,0.5360746269900101,False,ok,0.052685122127225974,0.09039425387081672,0.19842641093593913,False,ok,Trial-by-Trial
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.046062185045407364,0.39190708525944973,0.7463762209116962,False,ok,-0.0467966949207608,0.1296893073847039,0.27790565868150835,False,ok,Trial-by-Trial
mfcc3_sma3_amean,MFCC coefficient 3-mean [vocal tract feature],-0.04447058957270744,0.3720235928751008,0.7463762209116962,False,ok,-0.044667631213025465,0.13658154585046678,0.2858683517800467,False,ok,Trial-by-Trial
alphaRatioV_sma3nz_amean,Alpha ratio-mean [energy distribution],0.04426370042840938,0.3750865240520206,0.7463762209116962,False,ok,0.044245188946592566,0.15066746640614048,0.3081834540125601,False,ok,Trial-by-Trial
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.04345489436572689,0.3776904432878867,0.7463762209116962,False,ok,0.0438906910520461,0.1591388104242536,0.3182776208485072,False,ok,Trial-by-Trial
logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3-mean,-0.03935616781795444,0.5163303908204229,0.8702904188885696,False,ok,-0.03833454788523493,0.17697918521777933,0.34626362325217697,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],-0.028840664228748494,0.7698853712085965,0.9106581928167804,False,ok,-0.02840560505641026,0.1880914683602587,0.36017515217921875,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],0.04436983940472117,0.2783582845027112,0.6423652719293336,False,ok,0.042758909953194285,0.19316746608262092,0.36218899890491424,False,ok,Trial-by-Trial
mfcc2_sma3_amean,MFCC coefficient 2-mean [vocal tract feature],-0.03542214532728799,0.5797804623770306,0.8702904188885696,False,ok,-0.035180005881189046,0.20199259230691624,0.37100680219637683,False,ok,Trial-by-Trial
HNRdBACF_sma3nz_stddevNorm,Harmonics-to-noise ratio-coefficient of variation [voice clarity],-0.04687404903395055,0.14677216931296594,0.38851456582843924,False,ok,-0.04722731952684049,0.22883074372137524,0.4118953386984754,False,ok,Utterance-level
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],0.0419401767941412,0.19481399403340743,0.5009502703716191,False,ok,0.04222193676574909,0.28538452893078947,0.502167796894351,False,ok,Utterance-level
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],-0.035790098462127065,0.2675446228979308,0.6336583173898361,False,ok,-0.035737217996273184,0.29014139376118053,0.502167796894351,False,ok,Trial-by-Trial
mfcc3V_sma3nz_amean,MFCC coefficient 3-mean [vocal tract feature],-0.031111602874979327,0.5264727784370737,0.8702904188885696,False,ok,-0.031238441807212705,0.298892619808666,0.5028112226104176,False,ok,Trial-by-Trial
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],0.030971841873580437,0.5861482058590968,0.8702904188885696,False,ok,0.030376752800811566,0.30168673356625053,0.5028112226104176,False,ok,Trial-by-Trial
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.03146021406275781,0.7283884615497815,0.9106581928167804,False,ok,-0.031151734434741448,0.32578873831853794,0.5331088445212439,False,ok,Trial-by-Trial
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.03362155582673843,0.30902783952964324,0.6953126389416974,False,ok,-0.03371480607308318,0.3487809682257841,0.5605408417914387,False,ok,Trial-by-Trial
F3bandwidth_sma3nz_amean,F3-mean [timbre],-0.02670490829282955,0.5934166647157268,0.8702904188885696,False,ok,-0.027412269174700705,0.36451671855305845,0.5755527135048292,False,ok,Trial-by-Trial
F1frequency_sma3nz_amean,F1-mean [mouth opening],-0.024304633116469878,0.7286171534475927,0.9106581928167804,False,ok,-0.024587536573616193,0.37354001642361545,0.5796310599676792,False,ok,Trial-by-Trial
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],0.028437377454001038,0.5995333996787924,0.8702904188885696,False,ok,0.02807708538489231,0.380482626143854,0.5803972263211332,False,ok,Trial-by-Trial
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],-0.029139542405072518,0.4849194069224525,0.8557401298631515,False,ok,-0.02759255338340947,0.40083893549858685,0.6012584032478803,False,ok,Trial-by-Trial
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.023792112501956817,0.5885814367952915,0.8702904188885696,False,ok,0.024956109830020032,0.4225921256748194,0.6197494329745029,False,ok,Trial-by-Trial
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.024578531435166667,0.6344097208718797,0.9062996012455425,False,ok,-0.023492228925231926,0.433824603082152,0.6197494329745029,False,ok,Trial-by-Trial
hammarbergIndexV_sma3nz_amean,hammarbergIndexV-mean,-0.02216102114624518,0.7163970787465408,0.9106581928167804,False,ok,-0.022282496860363744,0.4298908474769204,0.6197494329745029,False,ok,Trial-by-Trial
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,-0.028890871868918106,0.37504368646633757,0.7463762209116962,False,ok,-0.028970974733158884,0.44181595739421275,0.6213036900856117,False,ok,Trial-by-Trial
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],-0.029702663454469893,0.3628480229757505,0.7463762209116962,False,ok,-0.029798432876499366,0.4565882063430461,0.6226202813768811,False,ok,Trial-by-Trial
loudness_sma3_meanRisingSlope,Loudness-rising slope [intensity],0.023080838592527353,0.7276257103714636,0.9106581928167804,False,ok,0.024029517842943975,0.45332814230310947,0.6226202813768811,False,ok,Trial-by-Trial
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.024675153091087372,0.5628129890343508,0.8702904188885696,False,ok,0.023702457360937273,0.48447967396443214,0.6507935918925207,False,ok,Trial-by-Trial
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,0.022735756051066765,0.4834545274046206,0.8557401298631515,False,ok,0.022718447142843524,0.531877419975838,0.7039554087915504,False,ok,Trial-by-Trial
F3frequency_sma3nz_amean,F3-mean [timbre],-0.017866084507603186,0.7777912752099428,0.9106581928167804,False,ok,-0.01751901817630804,0.5462807979397342,0.70419451893472,False,ok,Trial-by-Trial
