Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx027,CW,12,12,1.0,8.5217,False,8.5217,0.43493459490912884,-0.9357747964855071
xxxxxxxx027,W,12,12,1.0,6.622,False,6.622,0.23849196668686676,-0.5109820004427206
xxxxxxxx028,CW,12,7,0.5833333333333334,8.412,False,8.412,-2.0019329935888286,-0.9549881643554708
xxxxxxxx028,W,12,12,1.0,10.593,False,10.593,0.23849196668686676,1.4448422919345547
xxxxxxxx029,CW,12,12,1.0,10.4802,False,10.4802,0.43493459490912884,-0.59275400365666
xxxxxxxx029,W,12,12,1.0,6.8764,False,6.8764,0.23849196668686676,-0.3856831588459491
xxxxxxxx030,CW,12,12,1.0,11.1916,False,11.1916,0.43493459490912884,-0.4681561011708589
xxxxxxxx030,W,12,12,1.0,6.1421,False,6.1421,0.23849196668686676,-0.747345656426567
xxxxxxxx031,CW,12,12,1.0,8.6783,False,8.6783,0.43493459490912884,-0.9083471446310278
xxxxxxxx031,W,12,12,1.0,8.4658,False,8.4658,0.23849196668686676,0.3971390849980298
xxxxxxxx032,CW,12,12,1.0,9.1353,False,9.1353,0.43493459490912884,-0.8283060405601658
xxxxxxxx032,W,12,11,0.9166666666666666,7.2725,False,7.2725,-0.4861567013232258,-0.19059325650129083
xxxxxxxx033,CW,12,12,1.0,10.3875,False,10.3875,0.43493459490912884,-0.6089899125130472
xxxxxxxx033,W,12,12,1.0,6.188,False,6.188,0.23849196668686676,-0.7247386720346969
xxxxxxxx034,CW,12,12,1.0,7.8043,False,7.8043,0.43493459490912884,-1.061423566858453
xxxxxxxx034,W,12,12,1.0,4.5707,False,4.5707,0.23849196668686676,-1.5213024161953028
xxxxxxxx035,CW,12,12,1.0,11.3722,False,11.3722,0.43493459490912884,-0.4365249777678005
xxxxxxxx035,W,12,12,1.0,11.7563,False,11.7563,0.23849196668686676,2.017798826641803
xxxxxxxx036,CW,12,9,0.75,15.868,False,15.868,-1.0271859581896456,0.3508903300697948
xxxxxxxx036,W,12,12,1.0,7.8073,False,7.8073,0.23849196668686676,0.07281012591204744
xxxxxxxx037,CW,12,12,1.0,11.6197,False,11.6197,0.43493459490912884,-0.3931766774230776
xxxxxxxx037,W,12,12,1.0,6.3237,False,6.3237,0.23849196668686676,-0.6579027726452242
xxxxxxxx038,CW,12,12,1.0,10.0033,False,10.0033,0.43493459490912884,-0.6762804862198856
xxxxxxxx038,W,12,10,0.8333333333333334,6.1162,False,6.1162,-1.2108053693333174,-0.7601021029570559
xxxxxxxx039,CW,12,12,1.0,13.251,False,13.251,0.43493459490912884,-0.10746321337319359
