Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
Gap_Before,Hesitation duration (response latency),0.3286888658132478,9.264861602391289,0.2591540789333566,0.3982236526931391,1.9533047888345036e-20,True,8.789871549755265e-19,True,0.1393565538545267,4.990974885179517e-10,True,0.4680454196677746,0.0,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.3829153991481999,9.300885425075665,0.3022226319513212,0.4636081663450785,1.3928091503937788e-20,True,8.789871549755265e-19,True,0.078428939304651,0.0522104682242801,False,0.4613443384528509,0.0,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.3340183515692592,8.457389670454324,0.2566096008098089,0.4114271023287094,2.7342903213156265e-17,True,8.202870963946879e-16,True,0.0877030362428468,0.0103252747486435,True,0.421721387812106,0.0,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.2776386295904264,8.342500437949688,0.2124097790743604,0.3428674801064925,7.273589890546972e-17,True,1.6365577253730686e-15,True,-0.061410278795747,0.1290678829599734,False,0.2162283507946794,5.278675914155428e-07,True
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.2879487363102506,-7.724674988127011,-0.3610106481752228,-0.2148868244452783,1.1213909404950842e-14,True,2.0185036928911522e-13,True,0.1614885174878952,0.0175332001386308,True,-0.1264602188223553,0.0363710619325718,True
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],-0.2798255964005601,-7.541282316371759,-0.3525530379597259,-0.2070981548413942,4.6537239604388984e-14,True,5.983359377707154e-13,True,0.1243847516627981,0.0005210737367882,True,-0.1554408447377619,8.379777197675686e-05,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.3330641624625965,7.557673603309099,0.2466876142426707,0.4194407106825224,4.103421593680882e-14,True,5.983359377707154e-13,True,-0.027107701785089,0.2557253108428761,False,0.3059564606775075,2.013944566670034e-13,True
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.2615149778771588,7.160761949937709,0.1899346963061885,0.3330952594481291,8.022986412447448e-13,True,9.02585971400338e-12,True,0.1615908456611932,2.3640120181462747e-05,True,0.4231058235383521,0.0,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.2438650672501575,-6.876425163861727,-0.3133743719281543,-0.1743557625721608,6.1373152168986016e-12,True,6.137315216898602e-11,True,-0.0220251779470415,0.3547247435783932,False,-0.2658902451971991,7.771561172376097e-14,True
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.2290461132670635,6.821696631044913,0.1632369156020129,0.2948553109321141,8.997151052958644e-12,True,8.09743594766278e-11,True,0.1595781105067539,0.0010253878163638,True,0.3886242237738174,7.969576776289955e-09,True
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.1696624499254413,-6.807399136571012,-0.2185120024758988,-0.1208128973749837,9.937893710788126e-12,True,8.131003945190285e-11,True,-0.0675484475229314,0.2473078922438135,False,-0.2372108974483727,7.80059828748847e-05,True
MeanUnvoicedSegmentLength,Mean unvoiced segment duration [pause duration],0.2972336436463971,6.786674001039307,0.211392192965589,0.3830750943272052,1.1474809175480938e-11,True,8.606106881610704e-11,True,-0.0738384411895825,0.0015681240946277,True,0.2233952024568145,7.181311545423341e-09,True
alphaRatioUV_sma3nz_amean,Alpha ratio-mean [energy distribution],-0.2872315926343214,-6.542250765208938,-0.3732836168943989,-0.2011795683742439,6.059977630260278e-11,True,4.1953691286417307e-10,True,0.0282361131278233,0.248132917845857,False,-0.2589954795064981,4.530806840818968e-10,True
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.1778257489774407,-6.49990041922794,-0.2314478732433357,-0.1242036247115456,8.037319618949207e-11,True,5.166848326467347e-10,True,-0.0748711090358333,0.0990951796853875,False,-0.2526968580132741,8.560303133009484e-09,True
slopeUV500-1500_sma3nz_amean,slopeUV500-1500-mean,-0.2819164903693725,-6.475600357752143,-0.3672454622943443,-0.1965875184444006,9.443569469613739e-11,True,5.666141681768245e-10,True,0.0474368362402551,0.0598862276672301,False,-0.2344796541291173,2.454381808902894e-09,True
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.2513555163329235,6.21997057876064,0.1721498664388858,0.3305611662269612,4.97248112867583e-10,True,2.797020634880154e-09,True,0.1314768890283517,4.684212883606902e-05,True,0.3828324053612753,0.0,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],0.2155486815464841,5.844083506558429,0.1432575489237226,0.2878398141692457,5.0936473117049515e-09,True,2.696636812079092e-08,True,0.0819119972962596,0.0040584385620672,True,0.2974606788427438,2.4802382370126e-13,True
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],0.2753463488238857,5.599274391954352,0.1789626380219494,0.371730059625822,2.1525086230263607e-08,True,1.0762543115131804e-07,True,-0.024891809776104,0.2453971572892344,False,0.2504545390477817,1.6706377392594618e-08,True
F3amplitudeLogRelF0_sma3nz_amean,F3-mean [timbre],-0.1884244555295815,-5.380382845771698,-0.2570649116874945,-0.1197839993716684,7.432759731606343e-08,True,3.520780925497741e-07,True,0.1087817307647418,0.0025497179363075,True,-0.0796427247648396,0.0552412251301299,False
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],0.1688995423708596,4.984472120688177,0.1024846653224191,0.2353144194193001,6.213120316844898e-07,True,2.795904142580204e-06,True,0.1804663460956662,6.753188235298422e-09,True,0.3493658884665258,0.0,True
