Feature,English_Description,Utterance_Interaction_Coef,Utterance_P_Raw,Utterance_P_FDR,Utterance_Significant_FDR,Utterance_Status,Trial_Interaction_Coef,Trial_P_Raw,Trial_P_FDR,Trial_Significant_FDR,Trial_Status,More_Sensitive_Model
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.09724132764913916,0.2663481876736758,0.9971865685764424,False,ok,-0.09753269784773506,0.00013426638066932814,0.012083974260239532,True,ok,Trial-by-Trial
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.11318302543011038,0.0816876586839499,0.9971865685764424,False,ok,0.11364871825584395,0.0005754644576882927,0.02589590059597317,True,ok,Trial-by-Trial
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.09930423205017269,0.09278070930656626,0.9971865685764424,False,ok,0.099885295979449,0.0030983506980491768,0.09295052094147531,False,ok,Trial-by-Trial
Gap_Before,Hesitation duration (response latency),0.08649075588100012,0.011326285581162518,0.5623497933340006,False,ok,0.0865292475787602,0.007548526986075697,0.12970671207568596,False,ok,Trial-by-Trial
F3amplitudeLogRelF0_sma3nz_amean,F3-mean [timbre],-0.07528005934609605,0.1545434647261664,0.9971865685764424,False,ok,-0.0757337485087392,0.011529485517838754,0.12970671207568596,False,ok,Trial-by-Trial
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.06487040842119174,0.427775517548039,0.9971865685764424,False,ok,-0.06469345963092343,0.0059177072991091866,0.12970671207568596,False,ok,Trial-by-Trial
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.08474049916343429,0.1518756216898179,0.9971865685764424,False,ok,0.08568204269790654,0.011279458210454545,0.12970671207568596,False,ok,Trial-by-Trial
slopeV0-500_sma3nz_amean,slopeV0-500-mean,-0.0554873100812453,0.5264705512557635,0.9971865685764424,False,ok,-0.055187292871556014,0.00975222077635426,0.12970671207568596,False,ok,Trial-by-Trial
F1amplitudeLogRelF0_sma3nz_amean,F1-mean [mouth opening],-0.07455357645506129,0.13915130368397072,0.9971865685764424,False,ok,-0.07511350888504177,0.015059347988351473,0.13553413189516325,False,ok,Trial-by-Trial
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.054504169982252854,0.5089478594809169,0.9971865685764424,False,ok,0.05488984118802729,0.013606221110351362,0.13553413189516325,False,ok,Trial-by-Trial
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,0.06811477461042945,0.1719687690431503,0.9971865685764424,False,ok,0.06873434947997886,0.023756341367492436,0.19437006573402904,False,ok,Trial-by-Trial
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,-0.08100799134106848,0.012496662074088902,0.5623497933340006,False,ok,-0.08105756771225135,0.029924901907983664,0.2244367643098775,False,ok,Trial-by-Trial
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.06703299341588446,0.08458472392756251,0.9971865685764424,False,ok,0.06746618338397997,0.03636245816093971,0.2517400949603519,False,ok,Trial-by-Trial
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.05976384031769566,0.2485214111690951,0.9971865685764424,False,ok,-0.0612620663808087,0.04094333182744778,0.25320881371099546,False,ok,Trial-by-Trial
slopeUV500-1500_sma3nz_amean,slopeUV500-1500-mean,-0.06342019588554468,0.13615262691816712,0.9971865685764424,False,ok,-0.06381408891720343,0.04220146895183258,0.25320881371099546,False,ok,Trial-by-Trial
F2amplitudeLogRelF0_sma3nz_amean,F2-mean [tongue position],-0.06078353701283923,0.18139219262008408,0.9971865685764424,False,ok,-0.061326425706955116,0.04639459955148203,0.2609696224770864,False,ok,Trial-by-Trial
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.061891270099968226,0.19741452319356553,0.9971865685764424,False,ok,0.061569993920624254,0.050676108930714246,0.26828528257436957,False,ok,Trial-by-Trial
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.060781399910589604,0.1544678085742677,0.9971865685764424,False,ok,0.061144309639846704,0.06053874691183989,0.30269373455919946,False,ok,Trial-by-Trial
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.05085954019257042,0.25474225550926805,0.9971865685764424,False,ok,0.051431237431349815,0.09595705131637053,0.4023407260223386,False,ok,Trial-by-Trial
equivalentSoundLevel_dBp,equivalentSoundLevel_dBp,-0.03380709529903195,0.737162705317033,0.9971865685764424,False,ok,-0.03380414626169401,0.09834995524990499,0.4023407260223386,False,ok,Trial-by-Trial
loudness_sma3_amean,Loudness-mean [intensity],-0.03256670650643892,0.7260150815314047,0.9971865685764424,False,ok,-0.032630015419783796,0.09666861557950977,0.4023407260223386,False,ok,Trial-by-Trial
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],0.05436788388937127,0.19377505024698416,0.9971865685764424,False,ok,0.055208045330724834,0.08609232862133427,0.4023407260223386,False,ok,Trial-by-Trial
alphaRatioUV_sma3nz_amean,Alpha ratio-mean [energy distribution],-0.05212593429028358,0.18243365929405808,0.9971865685764424,False,ok,-0.05239363185332387,0.11164240348967537,0.43686157887264276,False,ok,Trial-by-Trial
StddevVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,0.043839108344072036,0.2123091986397635,0.9971865685764424,False,ok,0.04611568227516262,0.1792085514408137,0.6402462265412142,False,ok,Trial-by-Trial
mfcc1V_sma3nz_amean,MFCC coefficient 1-mean [vocal tract feature],-0.03713191314673642,0.5406808237009317,0.9971865685764424,False,ok,-0.03709254779020625,0.18987536247309655,0.6402462265412142,False,ok,Trial-by-Trial
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.037694527033483374,0.55055940499138,0.9971865685764424,False,ok,-0.037822283512282784,0.1748258410523068,0.6402462265412142,False,ok,Trial-by-Trial
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.049516554089015646,0.41754277544687257,0.9971865685764424,False,ok,0.049626453351895666,0.19207386796236425,0.6402462265412142,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],0.04504125199913962,0.2645313017427606,0.9971865685764424,False,ok,0.044703815475238634,0.20183396435199197,0.6487520282742599,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.042093153009049034,0.40723767191502813,0.9971865685764424,False,ok,0.04248112727309273,0.2217993899798565,0.6883429344202442,False,ok,Trial-by-Trial
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.03562918494373561,0.5096036582847816,0.9971865685764424,False,ok,-0.03559454904540269,0.24485949152692232,0.7108823947555809,False,ok,Trial-by-Trial
F2frequency_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],0.038300741761451415,0.24924549072579213,0.9971865685764424,False,ok,0.03905326411907629,0.24360023595290425,0.7108823947555809,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],-0.017784227258834495,0.8580538759176257,0.9971865685764424,False,ok,-0.017695833284244112,0.31433804038930924,0.7520414103116044,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],0.03676229218368099,0.30496735375377065,0.9971865685764424,False,ok,0.03732588181497428,0.28286880457038255,0.7520414103116044,False,ok,Trial-by-Trial
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],-0.035219863480305605,0.13126090988918274,0.9971865685764424,False,ok,-0.03541007167385098,0.30584248086490573,0.7520414103116044,False,ok,Trial-by-Trial
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.03178053086037629,0.5445845999586321,0.9971865685764424,False,ok,-0.03160906883353755,0.2979252175953929,0.7520414103116044,False,ok,Trial-by-Trial
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.02188820972362615,0.8088685421406021,0.9971865685764424,False,ok,-0.02196466431115407,0.31131844573332823,0.7520414103116044,False,ok,Trial-by-Trial
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.03594507922791075,0.2775698669800441,0.9971865685764424,False,ok,-0.03595570031347678,0.31752859546489964,0.7520414103116044,False,ok,Trial-by-Trial
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],0.03460574805934043,0.49315152582647837,0.9971865685764424,False,ok,0.034745974293250555,0.2946317081556006,0.7520414103116044,False,ok,Trial-by-Trial
Duration,Word duration (articulation lengthening),0.030393537617115718,0.6392318046486154,0.9971865685764424,False,ok,0.031917767301362567,0.43077589546040596,0.7686632985301509,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0 semitone-falling slope [pitch],-0.027974137499869843,0.4284419157917294,0.9971865685764424,False,ok,-0.027855783709263757,0.4060814315651764,0.7686632985301509,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],0.021735842243259917,0.6464532481512739,0.9971865685764424,False,ok,0.02221364704852619,0.4935450913776499,0.7686632985301509,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],-0.01717606774958152,0.8581526990998032,0.9971865685764424,False,ok,-0.01718229767261096,0.421053480308371,0.7686632985301509,False,ok,Trial-by-Trial
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],-0.014741909908130846,0.880712923885746,0.9971865685764424,False,ok,-0.014677970059694073,0.38714364840090965,0.7686632985301509,False,ok,Trial-by-Trial
