Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
F2frequency_sma3nz_amean,F2-mean [tongue position],Trial-by-Trial,3786,-0.03559454904540269,0.24485949152692232,0.007257880619015778,0.1971161854709389,ok,0.7108823947555809,False,False
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],Trial-by-Trial,3786,0.03732588181497428,0.28286880457038255,0.02250297718129426,0.6979881375800165,ok,0.7520414103116044,False,False
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],Trial-by-Trial,3786,0.034745974293250555,0.2946317081556006,0.479727397994701,0.6282636039865097,ok,0.7520414103116044,False,False
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Trial-by-Trial,3786,-0.03160906883353755,0.2979252175953929,0.1637816576590102,0.0035957270107061503,ok,0.7520414103116044,False,False
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],Trial-by-Trial,3786,-0.03541007167385098,0.30584248086490573,0.9498120859416486,0.42549413461286467,ok,0.7520414103116044,False,False
loudness_sma3_percentile50.0,Loudness-median [intensity],Trial-by-Trial,3786,-0.02196466431115407,0.31131844573332823,0.0023464763660429443,7.479529575529556e-11,ok,0.7520414103116044,False,False
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],Trial-by-Trial,3786,-0.017695833284244112,0.31433804038930924,0.18286442136870062,0.03569185782416805,ok,0.7520414103116044,False,False
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,-0.03595570031347678,0.31752859546489964,0.282610383607263,0.8063688412837845,ok,0.7520414103116044,False,False
loudness_sma3_stddevRisingSlope,Loudness-standard deviation [intensity],Trial-by-Trial,3786,0.030510755901614672,0.3403476455924297,0.010799641831712925,0.09175305607135012,ok,0.7686632985301509,False,False
F3bandwidth_sma3nz_amean,F3-mean [timbre],Trial-by-Trial,3786,-0.031022602040159216,0.35126831638287015,3.0832566869520846e-05,0.837980900137799,ok,0.7686632985301509,False,False
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],Trial-by-Trial,3786,0.026790585765810716,0.36184791058618015,0.9901299451536384,0.03120480897358774,ok,0.7686632985301509,False,False
F1amplitudeLogRelF0_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],Trial-by-Trial,3786,0.029972812632622164,0.3792024072105017,0.5992505079308017,0.474576444200399,ok,0.7686632985301509,False,False
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],Trial-by-Trial,3786,-0.014677970059694073,0.38714364840090965,0.1149201799660414,0.07777734325131795,ok,0.7686632985301509,False,False
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0 semitone-falling slope [pitch],Trial-by-Trial,3786,-0.027855783709263757,0.4060814315651764,0.11756503410804295,0.09870213422994724,ok,0.7686632985301509,False,False
F3frequency_sma3nz_amean,F3-mean [timbre],Trial-by-Trial,3786,-0.024049672620412146,0.40770044257107474,0.5284549405763308,0.0959080824410447,ok,0.7686632985301509,False,False
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],Trial-by-Trial,3786,0.02641824205925112,0.41177797728992194,0.7540823563687633,0.03680861704681505,ok,0.7686632985301509,False,False
F1frequency_sma3nz_amean,F1-mean [mouth opening],Trial-by-Trial,3786,-0.023205472484458353,0.41795098652625406,0.2913334931082646,0.07298753927058356,ok,0.7686632985301509,False,False
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],Trial-by-Trial,3786,-0.01718229767261096,0.421053480308371,0.7383627082339694,0.4869246744338537,ok,0.7686632985301509,False,False
Duration,Word duration (articulation lengthening),Trial-by-Trial,3786,0.031917767301362567,0.43077589546040596,6.497329963786336e-10,1.9887520695017743e-06,ok,0.7686632985301509,False,False
mfcc2V_sma3nz_amean,MFCC coefficient 2-mean [vocal tract feature],Trial-by-Trial,3786,0.021826313692203357,0.43919880992930616,0.6434626948118491,8.978394696144175e-07,ok,0.7686632985301509,False,False
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,Trial-by-Trial,3786,0.027455491436223885,0.44663660853946185,0.3606030450695532,0.384388062097759,ok,0.7686632985301509,False,False
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,Trial-by-Trial,3786,0.030708224671259526,0.4569670057509415,0.8163875329270263,0.2456942188080382,ok,0.7686632985301509,False,False
StddevUnvoicedSegmentLength,StddevUnvoicedSegmentLength,Trial-by-Trial,3786,0.027644359715985955,0.48056342026458887,0.9107301286667843,0.44123316660183143,ok,0.7686632985301509,False,False
slopeV0-500_sma3nz_stddevNorm,slopeV0-500-coefficient of variation,Trial-by-Trial,3786,-0.02560951956254471,0.48288888858594303,0.9405370096049862,0.4170832769216044,ok,0.7686632985301509,False,False
slopeV500-1500_sma3nz_amean,slopeV500-1500-mean,Trial-by-Trial,3786,0.021305370674384507,0.48976272092071027,0.012734359619026261,0.8999833238439494,ok,0.7686632985301509,False,False
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],Trial-by-Trial,3786,0.02221364704852619,0.4935450913776499,5.7809259523980636e-15,0.0005508850373109406,ok,0.7686632985301509,False,False
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Trial-by-Trial,3786,0.020989216966183593,0.501097905249932,0.0004857434025986873,0.8231936115458951,ok,0.7686632985301509,False,False
F1bandwidth_sma3nz_amean,F1-mean [mouth opening],Trial-by-Trial,3786,-0.02049825316505746,0.5036161477990994,0.8515938072540002,0.41581523634885564,ok,0.7686632985301509,False,False
loudness_sma3_meanRisingSlope,Loudness-rising slope [intensity],Trial-by-Trial,3786,-0.01886062648528309,0.5041060296453732,0.21890440591687998,0.9366384593432419,ok,0.7686632985301509,False,False
loudness_sma3_meanFallingSlope,Loudness-falling slope [intensity],Trial-by-Trial,3786,-0.02456812735407552,0.5195830119237854,0.4581533104074732,0.3036238939208079,ok,0.7686632985301509,False,False
F2bandwidth_sma3nz_amean,F2-mean [tongue position],Trial-by-Trial,3786,-0.021208431856105065,0.5254098295390686,0.24029404007891264,0.7101134266889165,ok,0.7686632985301509,False,False
MeanVoicedSegmentLengthSec,MeanVoicedSegmentLengthSec,Trial-by-Trial,3786,0.0241388959819104,0.529523605654104,1.1821174521135074e-10,4.907786635757662e-08,ok,0.7686632985301509,False,False
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],Trial-by-Trial,3786,0.021187110616782485,0.5474572485860203,0.6032326000443011,0.6918048794220222,ok,0.7820817836943148,False,False
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,-0.02190939994642442,0.5618545547196659,0.7945783442689607,0.19202865168723526,ok,0.7874807638832731,False,False
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,Trial-by-Trial,3786,-0.02026836487688946,0.5751801816156994,0.5006108062939614,0.5149907950264896,ok,0.7874807638832731,False,False
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],Trial-by-Trial,3786,-0.017281348041695652,0.5774858935144003,0.25274715917090285,3.2461742684663964e-07,ok,0.7874807638832731,False,False
mfcc3V_sma3nz_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,0.01681299058024026,0.6195749222182344,0.9294611092615732,0.6290493087428422,ok,0.8322648208901656,False,False
VoicedSegmentsPerSec,VoicedSegmentsPerSec,Trial-by-Trial,3786,0.016548568010144454,0.6582893290098705,9.162314880769945e-06,3.8263460378237225e-07,ok,0.8652699499733542,False,False
jitterLocal_sma3nz_amean,Jitter-mean [roughness],Trial-by-Trial,3786,-0.014040266929152495,0.6633736283129049,0.0006587702945526126,0.22492580798609707,ok,0.8652699499733542,False,False
mfcc4V_sma3nz_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],Trial-by-Trial,3786,-0.01314873923203768,0.7055354063884971,0.8837581328045228,0.0869024548524745,ok,0.9071169510709248,False,False
