Pair,Task_1,Task_2,Behavior_Metric,Speech_Feature,N,Spearman_rho,p_raw,Status,p_fdr_bh,Significant_FDR,Significant_Raw
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,jitterLocal_sma3nz_amean,158,0.2910936033430743,0.0002067517888952325,ok,0.0012832869655566154,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2amplitudeLogRelF0_sma3nz_stddevNorm,158,-0.289487175196506,0.00022494532563449964,ok,0.001349671953806998,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,shimmerLocaldB_sma3nz_amean,158,0.28249251930832314,0.0003228854293442511,ok,0.0018748186219988774,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,StddevVoicedSegmentLengthSec,158,0.27750561186018124,0.0004154240743454718,ok,0.002336760418193279,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeV0-500_sma3nz_amean,158,-0.2728083132656585,0.0005244682502838082,ok,0.0028607359106389537,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,MeanUnvoicedSegmentLength,158,-0.2694082727022793,0.0006192627386135123,ok,0.0032784497926597713,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,HNRdBACF_sma3nz_amean,158,0.2605041004123237,0.0009472185256753878,ok,0.004801911169614881,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,MeanUnvoicedSegmentLength,158,0.26020975534207236,0.0009603822339229763,ok,0.004801911169614881,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F3frequency_sma3nz_stddevNorm,158,0.2579884051180557,0.0010652671469619185,ok,0.005064535257495605,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeUV500-1500_sma3nz_amean,158,-0.257909483484351,0.0010691796654712944,ok,0.005064535257495605,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,StddevUnvoicedSegmentLength,158,0.24606632116548224,0.0018300666091208932,ok,0.008446461272865661,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc1V_sma3nz_amean,158,-0.24094748835872026,0.0022908927262896284,ok,0.010309017268303328,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,Gap_Before,158,-0.23761990445513032,0.0026444837352567747,ok,0.01160992859381023,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3amplitudeLogRelF0_sma3nz_stddevNorm,158,0.23658787958316735,0.002763781678658198,ok,0.011844778622820849,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,158,0.23533715975593247,0.002914873325291623,ok,0.012201795315174235,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3frequency_sma3nz_stddevNorm,158,-0.23224190817790108,0.0033213987463576646,ok,0.013587540326008628,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,158,0.23124046182066302,0.0034634799891061782,ok,0.013853919956424713,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudnessPeaksPerSec,158,-0.23059393725498548,0.0035580928182700772,ok,0.013922971897578565,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F1amplitudeLogRelF0_sma3nz_amean,158,0.2268103994999035,0.0041599701799144165,ok,0.01578784168057075,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,jitterLocal_sma3nz_amean,158,-0.22651799245284732,0.004210091114818866,ok,0.01578784168057075,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,MeanVoicedSegmentLengthSec,158,0.21628549435796707,0.006343736329999701,ok,0.023303521212243803,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,spectralFluxUV_sma3nz_amean,158,-0.2150641638208074,0.006654058657353069,ok,0.023954611166471046,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_amean,158,0.2143305431778329,0.006846892904550853,ok,0.02416550436900301,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F1frequency_sma3nz_stddevNorm,158,0.21143849859817848,0.007656402322697377,ok,0.026502931117029387,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,hammarbergIndexUV_sma3nz_amean,158,-0.2109043080553715,0.007814892827564101,ok,0.02654114545210449,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,158,-0.20778674102671965,0.008799245191545546,ok,0.02933081730515182,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,158,-0.19982486025524246,0.011827271835062157,ok,0.03870743509656706,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,158,0.19794428159966548,0.012663898740788047,ok,0.04070538880967586,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,alphaRatioUV_sma3nz_amean,158,0.19314511793593114,0.015038135583046631,ok,0.047040203188411074,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,logRelF0-H1-A3_sma3nz_stddevNorm,158,0.1929219802269384,0.01515739880515468,ok,0.047040203188411074,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc3_sma3_amean,158,0.19217067578818384,0.015565043234723882,ok,0.04748657258051354,True,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc4_sma3_amean,158,0.19051538048463626,0.016497028951010583,ok,0.048961487733312964,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,slopeUV500-1500_sma3nz_amean,158,0.1903504368172003,0.016592504176289394,ok,0.048961487733312964,True,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc1_sma3_stddevNorm,158,-0.18624991087458898,0.019125491384944012,ok,0.05552562014983745,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc1V_sma3nz_stddevNorm,158,-0.18573389843860746,0.019466821423825803,ok,0.05561948978235944,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,shimmerLocaldB_sma3nz_stddevNorm,158,0.18481654299686262,0.020086654515952894,ok,0.056493715826117515,False,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,158,0.1828118273272291,0.021500812762186905,ok,0.059540712264517584,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2amplitudeLogRelF0_sma3nz_stddevNorm,158,0.18117196627309715,0.02272063943549159,ok,0.06196538027861344,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,StddevVoicedSegmentLengthSec,158,-0.1791983489853107,0.02426728773489905,ok,0.0651956983922661,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3amplitudeLogRelF0_sma3nz_amean,158,0.17786566436847506,0.02536205152271184,ok,0.06713484226600193,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc3V_sma3nz_amean,158,0.17624500308805915,0.026750171045756884,ok,0.06978305490197448,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,spectralFlux_sma3_stddevNorm,158,-0.17463198643632447,0.028195751228405397,ok,0.07250336030161388,False,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc4V_sma3nz_amean,158,0.17239742667248792,0.03030814088300514,ok,0.0768375402667736,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2amplitudeLogRelF0_sma3nz_amean,158,0.16371545667956075,0.039838405503841684,ok,0.09959601375960421,False,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_amean,158,-0.16319088960522332,0.04048707814918049,ok,0.09983115160071902,False,True
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2bandwidth_sma3nz_amean,158,0.16046787219768804,0.04399848372126727,ok,0.10702333878146093,False,True
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,Duration,158,-0.15397619973970292,0.05340667192946173,ok,0.12817601263070816,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc1_sma3_amean,158,0.1490893708552413,0.06153842863680879,ok,0.145748909929284,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,158,-0.1485408687473647,0.06251137323535638,ok,0.1461304828878461,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc4_sma3_stddevNorm,158,-0.14669457632739494,0.06587933913341856,ok,0.15202924415404284,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_stddevRisingSlope,158,-0.14415094072718151,0.07076049195869108,ok,0.16073958173008226,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,VoicedSegmentsPerSec,158,-0.1431135802506697,0.0728336787497114,ok,0.16073958173008226,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_stddevNorm,158,-0.14271375053511456,0.07364577619268352,ok,0.16073958173008226,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc3_sma3_amean,158,-0.14256593429161235,0.07394785729620908,ok,0.16073958173008226,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc4_sma3_stddevNorm,158,0.14248250051750805,0.07411880713109349,ok,0.16073958173008226,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc4V_sma3nz_amean,158,-0.13737588855846172,0.08520597002641259,ok,0.17906484002394074,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F1bandwidth_sma3nz_stddevNorm,158,0.137208131325501,0.08559157713380897,ok,0.17906484002394074,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_percentile50.0,158,-0.13718074902754812,0.08565465054295267,ok,0.17906484002394074,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc3V_sma3nz_stddevNorm,158,0.13664831545624234,0.0868884888104744,ok,0.17906484002394074,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_amean,158,-0.136368407521613,0.08754281067837102,ok,0.17906484002394074,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc4_sma3_amean,158,-0.1358374070363688,0.08879490901161133,ok,0.17958520923696672,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,158,0.13401048742011595,0.09321228005395098,ok,0.18517003588306413,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2frequency_sma3nz_stddevNorm,158,-0.13384789242208464,0.09361374036310464,ok,0.18517003588306413,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2bandwidth_sma3nz_amean,158,-0.126902747265208,0.11208125856421343,ok,0.2150033660277842,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,158,0.12685879065029107,0.11220660089705697,ok,0.2150033660277842,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,alphaRatioV_sma3nz_stddevNorm,158,0.12642113565829197,0.11346055338394027,ok,0.2150033660277842,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,spectralFluxV_sma3nz_amean,158,0.1264164634545203,0.1134739987368861,ok,0.2150033660277842,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeV0-500_sma3nz_stddevNorm,158,0.12595704934442215,0.11480215002364912,ok,0.2152540312943421,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2frequency_sma3nz_stddevNorm,158,0.12432019642235065,0.11963288405284912,ok,0.22199916628363756,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeUV0-500_sma3nz_amean,158,0.12210923118571387,0.1264065180332946,ok,0.23217523720401054,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,158,-0.12104907692160242,0.12975761361821145,ok,0.2359229338512935,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,logRelF0-H1-A3_sma3nz_amean,158,-0.11991468892948905,0.1334185646323326,ok,0.24015341633819864,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F1frequency_sma3nz_stddevNorm,158,-0.11588492617841828,0.14706564496887753,ok,0.2620971890534451,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,slopeV500-1500_sma3nz_amean,158,-0.11421839712591514,0.1530088578245504,ok,0.27001563145508894,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,shimmerLocaldB_sma3nz_amean,158,-0.11332206441304361,0.1562793059213555,ok,0.2731094666586795,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc2_sma3_amean,158,0.11129814896969402,0.16385671696427745,ok,0.28278642983658187,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,158,-0.11100966092629211,0.1649587507380061,ok,0.28278642983658187,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,slopeV500-1500_sma3nz_stddevNorm,158,-0.1102974173929314,0.16770319415373172,ok,0.2847790089402991,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F1bandwidth_sma3nz_amean,158,0.1087700936626714,0.17370259023069368,ok,0.2915021073146546,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F1bandwidth_sma3nz_amean,158,-0.1084696363576474,0.17490126438879275,ok,0.2915021073146546,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc3V_sma3nz_amean,158,-0.10750138052418845,0.17880571416244803,ok,0.2934613169152649,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F1amplitudeLogRelF0_sma3nz_stddevNorm,158,0.10737072098472389,0.17933747144821743,ok,0.2934613169152649,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_percentile20.0,158,0.10630429528369549,0.18372120289877097,ok,0.29792627497097995,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F2bandwidth_sma3nz_stddevNorm,158,0.10400135089348186,0.19345502564688247,ok,0.3088144854215592,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc1V_sma3nz_amean,158,0.10390579303496678,0.19386687140353437,ok,0.3088144854215592,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,hammarbergIndexV_sma3nz_stddevNorm,158,-0.10161049327343434,0.20395172364121594,ok,0.31835553681951917,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2bandwidth_sma3nz_stddevNorm,158,0.10151682718271143,0.20437114532808445,ok,0.31835553681951917,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_stddevFallingSlope,158,-0.10134048625894587,0.2051624570614679,ok,0.31835553681951917,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,logRelF0-H1-H2_sma3nz_stddevNorm,158,0.09589128619217199,0.23071151651601784,ok,0.35426633920063966,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3bandwidth_sma3nz_stddevNorm,158,0.09557888124396195,0.23224126680930823,ok,0.35426633920063966,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,slopeV0-500_sma3nz_amean,158,0.09361230051572143,0.24203475203232058,ok,0.3661029862673757,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,alphaRatioV_sma3nz_amean,158,-0.0921770214808248,0.24936162575935913,ok,0.37404243863903874,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_meanRisingSlope,158,0.08899494479227235,0.26614905165829017,ok,0.39592420907844816,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,logRelF0-H1-A3_sma3nz_stddevNorm,158,-0.08138471694013069,0.3093653830364713,ok,0.45644072907020355,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,loudness_sma3_percentile80.0,158,0.07954101183675891,0.32049012151154405,ok,0.46900993391933277,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,158,-0.0764772369435879,0.3395420534069553,ok,0.4888130593872821,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,spectralFlux_sma3_amean,158,0.07609996972734837,0.3419368231274508,ok,0.4888130593872821,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,shimmerLocaldB_sma3nz_stddevNorm,158,-0.07606345999674455,0.34216914157109746,ok,0.4888130593872821,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,HNRdBACF_sma3nz_stddevNorm,158,-0.07356617295642615,0.358296768757594,ok,0.507822191939897,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudness_sma3_stddevFallingSlope,158,-0.07247960688425902,0.36545931858207936,ok,0.5139271667560491,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,alphaRatioV_sma3nz_amean,158,0.07134457731620011,0.37303515694498646,ok,0.5205141724813764,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,loudnessPeaksPerSec,158,-0.07066503637190803,0.3776165547382745,ok,0.5226652584666112,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,F3bandwidth_sma3nz_amean,158,0.06988146193208432,0.382941756135492,ok,0.5226652584666112,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,F2frequency_sma3nz_amean,158,-0.06976553146758467,0.3837334754022097,ok,0.5226652584666112,False,False
STT_minus_Hanzi,STT,Hanzi,Total_Hesitation_Duration,mfcc2_sma3_amean,158,-0.06940651911664707,0.3861915520892183,ok,0.5226652584666112,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,mfcc2V_sma3nz_amean,158,0.06822448866543268,0.3943516812485305,ok,0.5297261389905633,False,False
STT_minus_Hanzi,STT,Hanzi,Overall_Accuracy,StddevUnvoicedSegmentLength,158,-0.06717587209706595,0.40167656482600744,ok,0.5355687531013432,False,False
