Feature,English_Description,Model,N,Interaction_Coef,Interaction_PValue_Raw,Age_Main_PValue,Task_Main_PValue,Status,FDR_PValue,Significant_FDR,Significant_Raw
VoicedSegmentsPerSec,VoicedSegmentsPerSec,Utterance-level,316,0.0877964563919163,0.1015682025490831,1.9023409184228404e-08,2.1015725328443928e-22,ok,0.2856605696692962,False,False
mfcc1V_sma3nz_amean,MFCC coefficient 1-mean [vocal tract feature],Utterance-level,316,-0.09023627300613413,0.13221363285131632,0.10193289841083349,0.021979451645072756,ok,0.36058263504904453,False,False
HNRdBACF_sma3nz_stddevNorm,Harmonics-to-noise ratio-coefficient of variation [voice clarity],Utterance-level,316,-0.04687404903395055,0.14677216931296594,0.6773845822365354,0.7076173277627639,ok,0.38851456582843924,False,False
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],Utterance-level,316,0.0419401767941412,0.19481399403340743,0.895676235766351,0.17600132217056721,ok,0.5009502703716191,False,False
shimmerLocaldB_sma3nz_stddevNorm,Shimmer-coefficient of variation [hoarseness],Utterance-level,316,-0.05604887501444651,0.2161343724872239,0.24964128349020806,7.807324719883647e-12,ok,0.5360746269900101,False,False
slopeV500-1500_sma3nz_amean,slopeV500-1500-mean,Utterance-level,316,0.05278316393102203,0.22038623554033746,0.007917664721409286,0.8693966469155144,ok,0.5360746269900101,False,False
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],Utterance-level,316,-0.035790098462127065,0.2675446228979308,0.5036199834553793,0.5604736452818144,ok,0.6336583173898361,False,False
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0 semitone-rising slope [pitch],Utterance-level,316,0.04436983940472117,0.2783582845027112,0.702832097220925,0.14224268326914594,ok,0.6423652719293336,False,False
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],Utterance-level,316,-0.03362155582673843,0.30902783952964324,0.1666283968915215,0.3429191705754647,ok,0.6953126389416974,False,False
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],Utterance-level,316,-0.029702663454469893,0.3628480229757505,0.7352923523713865,0.712123051219153,ok,0.7463762209116962,False,False
mfcc3_sma3_amean,MFCC coefficient 3-mean [vocal tract feature],Utterance-level,316,-0.04447058957270744,0.3720235928751008,0.1718040736682094,0.7936703368241893,ok,0.7463762209116962,False,False
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,Utterance-level,316,-0.028890871868918106,0.37504368646633757,0.40125024917825713,0.35291060393054874,ok,0.7463762209116962,False,False
alphaRatioV_sma3nz_amean,Alpha ratio-mean [energy distribution],Utterance-level,316,0.04426370042840938,0.3750865240520206,0.6310931737544101,0.00440618111487779,ok,0.7463762209116962,False,False
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Utterance-level,316,0.04345489436572689,0.3776904432878867,0.00027731625880319887,0.0018998540629619177,ok,0.7463762209116962,False,False
F2frequency_sma3nz_amean,F2-mean [tongue position],Utterance-level,316,-0.046062185045407364,0.39190708525944973,0.0031788352087237844,0.5469196348057446,ok,0.7463762209116962,False,False
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0 semitone-20th percentile [pitch],Utterance-level,316,-0.07916770595979444,0.3960062517208045,0.7393574206032116,0.41185650349220815,ok,0.7463762209116962,False,False
slopeV0-500_sma3nz_amean,slopeV0-500-mean,Utterance-level,316,-0.07464488627537014,0.39816345904797457,7.333021892607324e-06,0.09826027615747976,ok,0.7463762209116962,False,False
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],Utterance-level,316,0.08085720464015955,0.40636038694081233,0.0026777459730456463,0.06128707123264628,ok,0.7463762209116962,False,False
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,Utterance-level,316,0.022735756051066765,0.4834545274046206,0.2576117696455155,0.43899599119178745,ok,0.8557401298631515,False,False
loudness_sma3_stddevFallingSlope,Loudness-standard deviation [intensity],Utterance-level,316,-0.029139542405072518,0.4849194069224525,0.2196381144548487,0.36211480997357437,ok,0.8557401298631515,False,False
logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3-mean,Utterance-level,316,-0.03935616781795444,0.5163303908204229,0.6796592673511297,0.0005940818352839076,ok,0.8702904188885696,False,False
mfcc3V_sma3nz_amean,MFCC coefficient 3-mean [vocal tract feature],Utterance-level,316,-0.031111602874979327,0.5264727784370737,0.28006481421451335,0.9938976649229492,ok,0.8702904188885696,False,False
spectralFlux_sma3_amean,Spectral flux-mean [timbre change],Utterance-level,316,0.05897295813096756,0.5488065329715033,0.0020193663783727857,0.0650089480010154,ok,0.8702904188885696,False,False
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],Utterance-level,316,0.024675153091087372,0.5628129890343508,0.52917221306462,6.956613790529643e-07,ok,0.8702904188885696,False,False
loudness_sma3_percentile80.0,Loudness-80th percentile [intensity],Utterance-level,316,0.052473870969064584,0.5641011483298866,0.003442298908007055,0.002157478451096953,ok,0.8702904188885696,False,False
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],Utterance-level,316,-0.0181897142277379,0.5754659526672266,0.9969311000060302,0.36197867167884334,ok,0.8702904188885696,False,False
mfcc2_sma3_amean,MFCC coefficient 2-mean [vocal tract feature],Utterance-level,316,-0.03542214532728799,0.5797804623770306,0.7022283166487833,0.0016867701640083349,ok,0.8702904188885696,False,False
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],Utterance-level,316,0.030971841873580437,0.5861482058590968,0.7490930522535568,0.373715652538976,ok,0.8702904188885696,False,False
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],Utterance-level,316,0.023792112501956817,0.5885814367952915,0.43407790685878755,3.7661373348239916e-07,ok,0.8702904188885696,False,False
F3bandwidth_sma3nz_amean,F3-mean [timbre],Utterance-level,316,-0.02670490829282955,0.5934166647157268,2.9008296694177426e-05,0.29236920372910485,ok,0.8702904188885696,False,False
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],Utterance-level,316,0.028437377454001038,0.5995333996787924,0.9930009018386841,0.29015884163087813,ok,0.8702904188885696,False,False
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],Utterance-level,316,-0.024578531435166667,0.6344097208718797,0.164165202633043,0.009942563798433033,ok,0.9062996012455425,False,False
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],Utterance-level,316,-0.04432277882154299,0.657044010127356,0.17784953195070213,0.7783672493350524,ok,0.9106581928167804,False,False
mfcc2_sma3_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],Utterance-level,316,0.014265540277003701,0.6585490538424499,0.20507507010333198,0.13315740983697555,ok,0.9106581928167804,False,False
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0 semitone-falling slope [pitch],Utterance-level,316,0.014208050454637498,0.7122471626119982,0.22754086041703792,0.3047051865112106,ok,0.9106581928167804,False,False
