Device_ID,Device_Name,Acoustic_Level,Feature,N_Complete_Pairs,ICC_3_1,ICC_95CI_Low_Bootstrap,ICC_95CI_High_Bootstrap,Bootstrap_Valid_Replicates,ICC_Category,Session1_Mean,Session1_SD,Session2_Mean,Session2_SD,Mean_Change_S2_Minus_S1
1,ASUS_FX63VD_laptop,Overall_All_Conditions,Gap_Before,51,0.6533469308127203,0.49766785167864463,0.7721749384328682,2000,moderate,0.39085538543700304,0.10979663514885196,0.3790113538748833,0.10475078439060165,-0.011844031562119823
1,ASUS_FX63VD_laptop,Overall_All_Conditions,loudness_sma3_stddevNorm,51,0.7952638458960335,0.6812297383503092,0.864277381872382,2000,good,0.3763422779215261,0.06674855797059716,0.36188142525553596,0.07083496481542707,-0.014460852665990153
1,ASUS_FX63VD_laptop,Overall_All_Conditions,spectralFlux_sma3_stddevNorm,51,0.7303960564744447,0.6045605077475682,0.8239969283360636,2000,moderate,0.4650960743194654,0.06516638200820121,0.4499208992981606,0.07442748499414426,-0.015175175021304872
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F3amplitudeLogRelF0_sma3nz_stddevNorm,51,0.11937150571620805,-0.0640292573602064,0.6133855525484015,2000,poor,-0.5532992007380565,0.2969566756040179,-0.5433708347120786,0.5447817380382948,0.009928366025977886
1,ASUS_FX63VD_laptop,Overall_All_Conditions,HNRdBACF_sma3nz_amean,51,0.9216785181614039,0.861242638761127,0.9589296493912811,2000,excellent,5.572795367088967,2.431308023046763,5.536712357818082,2.45258406140966,-0.036083009270883225
1,ASUS_FX63VD_laptop,Overall_All_Conditions,loudness_sma3_percentile20.0,51,0.6839929254538638,0.5028707204368965,0.8178149486241126,2000,moderate,0.7461078716242259,0.15784924231822803,0.774634038100353,0.17400447528031257,0.028526166476127306
1,ASUS_FX63VD_laptop,Overall_All_Conditions,loudness_sma3_pctlrange0-2,51,0.756343892273388,0.5642196141888769,0.8793768391886391,2000,good,0.8852578324081408,0.2901994388119733,0.8522848097758159,0.25674043378709566,-0.03297302263232505
1,ASUS_FX63VD_laptop,Overall_All_Conditions,shimmerLocaldB_sma3nz_amean,51,0.7872264197521871,0.6029408758339586,0.8843230918710215,2000,good,1.2228536055966432,0.16779171986803254,1.2169362766294625,0.17996996271943144,-0.005917328967180736
1,ASUS_FX63VD_laptop,Overall_All_Conditions,mfcc1_sma3_stddevNorm,51,0.4022323361674052,0.09498681768647509,0.8728927368221026,2000,poor,0.23325735752163654,0.15451444288070343,0.1917369487627824,0.07953049495329755,-0.04152040875885412
1,ASUS_FX63VD_laptop,Overall_All_Conditions,mfcc1_sma3_amean,51,0.7498769591029558,0.6040450573956883,0.8738494549344341,2000,moderate,31.671659158890144,3.734288597681868,31.678850706599512,3.7354599247338784,0.00719154770937055
1,ASUS_FX63VD_laptop,Overall_All_Conditions,mfcc1V_sma3nz_stddevNorm,51,0.3991516893015299,0.12627002508855936,0.6792804413125566,2000,poor,0.1720661927442562,0.06547177531593999,0.1535209367062407,0.04008132967600297,-0.018545256038015493
1,ASUS_FX63VD_laptop,Overall_All_Conditions,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,51,0.7478446753744056,0.6106161109986971,0.8593230431417233,2000,moderate,0.0900263539393376,0.033036305759296565,0.08664738248361513,0.040652988809897796,-0.003378971455722453
1,ASUS_FX63VD_laptop,Overall_All_Conditions,hammarbergIndexUV_sma3nz_amean,51,0.3962247731924271,0.10013671845993413,0.6276439212783,2000,poor,2.472163484156217,2.043310546935449,2.199957316437328,1.9626337484942513,-0.27220616771888956
1,ASUS_FX63VD_laptop,Overall_All_Conditions,spectralFluxUV_sma3nz_amean,51,0.5968752558298966,0.3367073401390814,0.7850160213307502,2000,moderate,0.11580716241951537,0.11935827092111502,0.09808157673917815,0.11090020851683172,-0.017725585680337223
