Device_ID,Device_Name,Analysis_Level,Feature,N,ICC_3_1_consistency,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Session1_mean,Session1_sd,Session2_mean,Session2_sd,Mean_difference_S2_minus_S1,SD_difference,Paired_t,Paired_t_p,SEM,MDC95,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_amean,51,0.9766084947455076,excellent,0.9766186374592306,2.24859314071979e-34,0.9464253393665156,1.0553217045902992e-25,30.483855087056625,4.685749055524789,30.448452524340013,4.707153330356193,-0.0354025627166115,1.0158159406134246,-0.2488884626825278,0.804466593844301,0.714077512703295,1.979321881979266,-0.0354025627166115,-2.026401806318924,1.9555966808857008
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,51,0.5316602547190655,moderate,0.5437950233787378,3.721029754931648e-05,0.4752941176470588,0.0004242374018421,38.20754099436571,28.37548110404773,35.80698143039215,35.12019835071796,-2.4005595639735584,30.89912058904761,-0.5548191659748334,0.5814919549947044,19.12041635882176,52.9990901804176,-2.4005595639735584,-62.96283591850688,58.16171679055976
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,51,0.4369383956768733,poor,0.4398712679851986,0.0012387246490691,0.464524886877828,0.0005948643499863,52.389652902877245,24.65395148485028,49.32821921791101,21.958122486134545,-3.0614336849662256,24.773451478265912,-0.8825177052578732,0.3817202262232055,14.848261123701182,41.15728002723896,-3.0614336849662256,-51.61739858236741,45.49453121243496
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,51,0.7096051606334725,moderate,0.729762079672021,1.237958713352344e-09,0.6834389140271493,3.2638362194835935e-08,4.367953228070851,1.8025563961259312,4.221007474671933,2.286442641165054,-0.1469457533989187,1.5689759792944404,-0.6688455365955286,0.5066705065566395,1.0257327193241943,2.8431860411546976,-0.1469457533989187,-3.2221386728160217,2.928247166018185
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,51,0.9502586048918132,excellent,0.950508851130916,1.5860382433604082e-26,0.9219909502262442,7.904419364731483e-22,28.25880824284888,4.570226521914651,28.326317639837796,4.676322510246678,0.0675093969889027,1.458318035126044,0.3305956007111069,0.7423313439668653,1.018282669668909,2.822535557079496,0.0675093969889027,-2.790793951858143,2.9258127458359486
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,51,0.9778235805703778,excellent,0.977843834249356,6.099429714411294e-35,0.9317647058823528,3.335316266904126e-23,30.820587521217355,5.044734733948131,30.76627511163385,5.01236959940049,-0.0543124095835079,1.0590242870092066,-0.3662505105692207,0.7157233790261257,0.744680016373949,2.064147694417144,-0.0543124095835079,-2.130000012121553,2.021375192954537
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,51,0.9711691211092408,excellent,0.9712512235920964,3.3430087779620877e-32,0.9598190045248868,1.0703113331787722e-28,32.62676147189367,4.899467861137554,32.54732511399029,4.963591503523004,-0.079436357903379,1.184226481196383,-0.4790376449089226,0.6340003112130571,0.8313171045516556,2.30429345082378,-0.079436357903379,-2.40052026104829,2.2416475452415314
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,51,0.5828528088453854,moderate,0.5924737299775822,4.644890534606626e-06,0.5352941176470588,5.181283352859046e-05,20.51475050673424,13.153123741062862,18.720472223956776,15.76994080248656,-1.7942782827774597,13.263075644481988,-0.9661190421299494,0.3386345163191028,8.343235772513173,23.12626967978641,-1.7942782827774597,-27.78990654596215,24.201349980407237
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,51,0.7478446753744056,moderate,0.763996783772025,6.939641804718122e-11,0.7107692307692307,5.111988971895656e-09,0.0900263539393376,0.0330363057592965,0.0866473824836151,0.0406529888098977,-0.0033789714557224,0.0263045641648427,-0.9173572564027844,0.3633593657577872,0.0173881161562587,0.0481973989969077,-0.0033789714557224,-0.0549359172188142,0.0481779743073693
1,ASUS_FX63VD_laptop,device_overall_mean,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,51,0.5704435822081496,moderate,0.5709185231641218,1.2158604765368936e-05,0.5815384615384616,7.633242458000449e-06,17.11408913666015,12.039683946869037,16.490920676804603,11.558309358835256,-0.623168459855549,10.938569279957962,-0.4068459815067135,0.6858575091168593,6.853962053470243,18.998213540336003,-0.623168459855549,-22.062764248573156,20.81642732886205
