Group,Task,Feature,Devices,N_complete_targets,ICC_2_1_absolute_agreement,ICC_Category
task_mean,C,loudness_sma3_percentile50.0,"1,2,3",102,0.0962367951401409,poor
task_mean,C,loudness_sma3_percentile80.0,"1,2,3",102,0.0875455619392045,poor
task_mean,C,loudness_sma3_stddevFallingSlope,"1,2,3",102,0.0913148548687594,poor
task_mean,C,loudness_sma3_stddevNorm,"1,2,3",102,0.5803698459423954,moderate
task_mean,C,loudness_sma3_stddevRisingSlope,"1,2,3",102,0.1432489738448157,poor
task_mean,C,mfcc1V_sma3nz_amean,"1,2,3",102,0.4216144487027359,poor
task_mean,C,mfcc1V_sma3nz_stddevNorm,"1,2,3",102,0.1205190472455165,poor
task_mean,C,mfcc1_sma3_amean,"1,2,3",102,0.4037677673353422,poor
task_mean,C,mfcc1_sma3_stddevNorm,"1,2,3",102,0.0125026765356747,poor
task_mean,C,mfcc2V_sma3nz_amean,"1,2,3",102,0.5320146734457145,moderate
task_mean,C,mfcc2V_sma3nz_stddevNorm,"1,2,3",102,0.0008825082734325,poor
task_mean,C,mfcc2_sma3_amean,"1,2,3",102,0.495617528598947,poor
task_mean,C,mfcc2_sma3_stddevNorm,"1,2,3",102,0.0191558122726893,poor
task_mean,C,mfcc3V_sma3nz_amean,"1,2,3",102,0.4799133408848193,poor
task_mean,C,mfcc3V_sma3nz_stddevNorm,"1,2,3",102,-0.0058999745512667,poor
task_mean,C,mfcc3_sma3_amean,"1,2,3",102,0.4848403193423213,poor
task_mean,C,mfcc3_sma3_stddevNorm,"1,2,3",102,0.0089926322915356,poor
task_mean,C,mfcc4V_sma3nz_amean,"1,2,3",102,0.3964244106109629,poor
task_mean,C,mfcc4V_sma3nz_stddevNorm,"1,2,3",102,-0.0017417286231457,poor
task_mean,C,mfcc4_sma3_amean,"1,2,3",102,0.4043672635393988,poor
task_mean,C,mfcc4_sma3_stddevNorm,"1,2,3",102,-0.0407269607374651,poor
task_mean,C,shimmerLocaldB_sma3nz_amean,"1,2,3",102,0.5167131519018014,moderate
task_mean,C,shimmerLocaldB_sma3nz_stddevNorm,"1,2,3",102,0.4149191135494203,poor
task_mean,C,slopeUV0-500_sma3nz_amean,"1,2,3",102,0.3015203560237335,poor
task_mean,C,slopeUV500-1500_sma3nz_amean,"1,2,3",102,0.4355865434115236,poor
task_mean,C,slopeV0-500_sma3nz_amean,"1,2,3",102,0.2045798019192727,poor
task_mean,C,slopeV0-500_sma3nz_stddevNorm,"1,2,3",102,0.0171877955938034,poor
task_mean,C,slopeV500-1500_sma3nz_amean,"1,2,3",102,0.403730586828233,poor
task_mean,C,slopeV500-1500_sma3nz_stddevNorm,"1,2,3",102,0.0027426716053272,poor
task_mean,C,spectralFluxUV_sma3nz_amean,"1,2,3",102,0.108096654118788,poor
task_mean,C,spectralFluxV_sma3nz_amean,"1,2,3",102,0.0455249595571687,poor
task_mean,C,spectralFluxV_sma3nz_stddevNorm,"1,2,3",102,0.7285886739693116,moderate
task_mean,C,spectralFlux_sma3_amean,"1,2,3",102,0.047582388769483,poor
task_mean,C,spectralFlux_sma3_stddevNorm,"1,2,3",102,0.6800684099693641,moderate
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_amean,"1,2,3",102,0.794844153711983,good
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,"1,2,3",102,0.2265933244295624,poor
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,"1,2,3",102,0.1417392241184747,poor
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,"1,2,3",102,0.438439952995629,poor
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,"1,2,3",102,0.8828353760612178,good
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,"1,2,3",102,0.8381963435770352,good
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,"1,2,3",102,0.6205588398349461,moderate
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,"1,2,3",102,0.1383092985347431,poor
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,"1,2,3",102,0.5065953763039986,moderate
task_mean,W,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,"1,2,3",102,0.2848938565349301,poor
task_mean,W,F1amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.4544428781996256,poor
task_mean,W,F1amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,0.0442864566525167,poor
task_mean,W,F1bandwidth_sma3nz_amean,"1,2,3",102,0.4074583020347026,poor
task_mean,W,F1bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.1903745305709472,poor
task_mean,W,F1frequency_sma3nz_amean,"1,2,3",102,0.2903724844999052,poor
task_mean,W,F1frequency_sma3nz_stddevNorm,"1,2,3",102,0.3207636616075513,poor
task_mean,W,F2amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.5007574934449408,moderate
task_mean,W,F2amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,-0.0046446163571211,poor
task_mean,W,F2bandwidth_sma3nz_amean,"1,2,3",102,0.2963339425179858,poor
task_mean,W,F2bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.423359283035808,poor
task_mean,W,F2frequency_sma3nz_amean,"1,2,3",102,0.3037708095721446,poor
task_mean,W,F2frequency_sma3nz_stddevNorm,"1,2,3",102,0.3441499363160107,poor
task_mean,W,F3amplitudeLogRelF0_sma3nz_amean,"1,2,3",102,0.6014687956057221,moderate
task_mean,W,F3amplitudeLogRelF0_sma3nz_stddevNorm,"1,2,3",102,0.0068567000346957,poor
task_mean,W,F3bandwidth_sma3nz_amean,"1,2,3",102,0.3262123372902762,poor
task_mean,W,F3bandwidth_sma3nz_stddevNorm,"1,2,3",102,0.3944717678661668,poor
task_mean,W,F3frequency_sma3nz_amean,"1,2,3",102,0.3881629315594781,poor
