Comparison,Mean_ICC,Median_ICC,Excellent,Good,Moderate,Poor,Median_Pearson_r,Median_Spearman_rho
All three devices,0.3468179286727788,0.3567972961783096,1,7,20,62,,
Laptop vs iPad,0.3974336656787627,0.4302023172351713,2,11,19,58,0.5754203081734863,0.5821850031947798
Laptop vs smartphone,0.3398145911911972,0.2846496813315364,1,6,20,63,0.5307130393427513,0.5405151247533992
iPad vs smartphone,0.353307173722987,0.35088848204633327,4,10,19,57,0.500828456443996,0.6144437973209085
