Device_ID,Device_Name,Task,Feature,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max
1,ASUS_FX63VD_laptop,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,1208,30.532528925415697,5.270298377904321,31.774805068969727,25.90635585784912,34.89139366149902,8.985037803649902,14.66722583770752,41.76467514038086
2,iPad_2021,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,1207,31.72958791996688,5.405407884985447,33.099124908447266,27.959339141845703,35.56465148925781,7.605312347412109,0.0,55.93328475952149
3,Huawei_P30_phone,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,1204,32.626931876439194,5.211983903310011,33.60298538208008,29.78585052490234,35.921335220336914,6.135484695434574,0.0,55.06515884399414
1,ASUS_FX63VD_laptop,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1208,34.860665841583184,102.04616579555632,10.755421161651611,0.0,36.06468963623047,36.06468963623047,-342.4178161621094,1090.4461669921875
2,iPad_2021,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1207,38.187973752247466,92.7869664325084,11.823936462402344,0.0,58.95954322814941,58.95954322814941,-392.60296630859375,820.1046142578125
3,Huawei_P30_phone,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1204,43.98261472647175,108.9180925494296,13.001838207244877,0.0,62.99283599853516,62.99283599853516,-444.0046081542969,960.3499145507812
1,ASUS_FX63VD_laptop,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1208,45.02898086425817,85.89204214247881,17.017525672912598,6.461151719093323,44.55488109588624,38.09372937679292,-234.5342712402344,1111.7781982421875
2,iPad_2021,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1207,65.8499571996569,97.96508078367992,26.42029571533203,7.386327505111694,99.14374542236328,91.7574179172516,-337.51287841796875,1018.65771484375
3,Huawei_P30_phone,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1204,69.33636024873704,133.81736971015215,23.2822790145874,6.769716739654541,100.38760948181152,93.61789274215698,-465.9041137695313,1803.48291015625
1,ASUS_FX63VD_laptop,Dots,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1208,3.966574543359264,5.165619380400471,1.8623533248901367,0.9758706092834472,4.144600868225098,3.1687302589416504,0.0,26.251766204833984
