Group,Task,Feature,Device_1,Device_1_Name,Device_2,Device_2_Name,Device_Pair,N,ICC_2_1_absolute_agreement,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Device1_mean,Device1_sd,Device2_mean,Device2_sd,Mean_difference_D2_minus_D1,SD_difference,Paired_t,Paired_t_p,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_amean,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.8683508753645159,good,0.925227183336565,7.001306778388609e-44,0.944981933944394,2.488666367987926e-50,30.46615380569831,4.673189589148415,31.761412851420577,3.834728780871053,1.2952590457222677,1.8392760206785463,7.112295806425056,1.6753116075483342e-10,1.2952590457222677,-2.309721954807684,4.900240046252218
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_amean,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.6936702989781635,moderate,0.839400848826801,3.133998728195116e-28,0.8465261717490995,3.899738560491811e-29,30.46615380569831,4.673189589148415,32.706603982276164,3.377586438464243,2.2404501765778457,2.597771009939082,8.710328021957855,6.148475771791491e-14,2.2404501765778457,-2.851181002902755,7.332081356058446
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_amean,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.8658299182208462,good,0.901773357792394,3.267285207002781e-38,0.901838270634602,3.1662327399312246e-38,31.761412851420577,3.834728780871053,32.706603982276164,3.377586438464243,0.9451911308555784,1.6593574637019934,5.752806554698047,9.427873714018139e-08,0.9451911308555784,-2.307149498000329,4.197531759711485
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.2600086452104144,poor,0.2601287661252061,0.0082805066662606,0.3435151624814109,0.000408117759259,37.007261212378936,31.79089500118477,40.94168461046522,32.46121271053306,3.9344233980863024,39.08325277220288,1.0166945103105929,0.31172807956887,3.9344233980863024,-72.66875203543134,80.53759883160396
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.2104866652076169,poor,0.2448130887758184,0.0131427323736643,0.3430401863715783,0.0004162341465151,37.007261212378936,31.79089500118477,53.45966468884406,47.492577262790846,16.45240347646513,50.26880599121862,3.3054520966245238,0.0013133413160127,16.45240347646513,-82.07445626632335,114.97926321925362
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.6337136358204716,moderate,0.7101011382655991,6.439581525263125e-17,0.6826028690818824,2.761623616402857e-15,40.94168461046522,32.46121271053306,53.45966468884406,47.492577262790846,12.517980078378825,33.46336408500272,3.7780242685332737,0.0002674435466647,12.517980078378825,-53.0702135282265,78.10617368498416
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.2291259785913779,poor,0.2861140641102797,0.0035546200009958,0.3747844230453884,0.0001040561998417,50.858936060394136,23.28000436782516,68.43501573361787,31.314340354889733,17.576079673223738,33.24745652707919,5.339046110555598,5.770619346754201e-07,17.576079673223738,-47.58893511985146,82.74109446629893
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.1575424933357953,poor,0.2389950091087565,0.015556799631919,0.4152704819311171,1.4248190629286014e-05,50.858936060394136,23.28000436782516,75.2376034518712,46.83426857322296,24.378667391477048,47.05585887358259,5.232344656004866,9.107973536490692e-07,24.378667391477048,-67.85081600074481,116.60815078369892
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.5190914903093152,moderate,0.5672880599014316,5.08015498672209e-10,0.6896483480443989,1.096906841198598e-15,68.43501573361787,31.314340354889733,75.2376034518712,46.83426857322296,6.802587718253316,38.859814509682224,1.7679643899747066,0.0800865436405204,6.802587718253316,-69.36264872072384,82.96782415723048
overall_mean,All,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.5671754894597348,moderate,0.5767638671087635,2.234400663787236e-10,0.5110007859723723,4.071485360261664e-08,4.294480351371392,2.0498782830706856,4.710966286440399,2.1670786968984284,0.4164859350690065,1.942672204205397,2.165214362403597,0.0327259764679746,0.4164859350690065,-3.391151585173572,4.2241234553115845
