Device,"W Mean |Z| ICC(3,1)","W RMS Z ICC(3,1)","CW Mean |Z| ICC(3,1)","CW RMS Z ICC(3,1)","CW-W Mean |Z| ICC(3,1)","CW-W RMS Z ICC(3,1)"
ASUS FX63VD (PC),0.5856547280954725,0.3038894059729995,0.5769165114537633,0.418139915322664,0.646818603528859,0.537599524777462
Apple iPad 2021 (iPad),0.21299655145221985,0.01751003188940114,0.2191299405229268,0.03694467994875935,0.08344308631998923,0.024106611377592208
HUAWEI P30 (smartphone),0.4952451687594143,0.3075762015595734,0.4705436920333308,0.26716455143867757,0.3411502004881523,0.13873483753208568
