Group,Task,Feature,Device_1,Device_1_Name,Device_2,Device_2_Name,Device_Pair,N,ICC_2_1_absolute_agreement,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Device1_mean,Device1_sd,Device2_mean,Device2_sd,Mean_difference_D2_minus_D1,SD_difference,Paired_t,Paired_t_p,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.8373977266850536,good,0.8823451815023245,1.6575323349261855e-34,0.8960480856766431,4.803699484377684e-37,30.47243083599983,4.747619282987354,31.735970727569587,4.034335230095513,1.2635398915697496,2.239592459717703,5.697968538586118,1.2030375450701169e-07,1.2635398915697496,-3.126061329476949,5.653141112616448
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.6854809950334328,moderate,0.8251475705147774,1.516462752657928e-26,0.8540805536864365,3.800832477119442e-30,30.47243083599983,4.747619282987354,32.64726182336405,3.3773816679770574,2.174830987364213,2.7358548010946966,8.028465651100715,1.8696635660233386e-12,2.174830987364213,-3.1874444227813914,7.537106397509818
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_amean,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.8353277288161164,good,0.872842124561889,6.321485387967633e-33,0.866825745966944,5.466728140226696e-32,31.735970727569587,4.034335230095513,32.64726182336405,3.3773816679770574,0.9112910957944632,1.9740224579985977,4.6623526925792005,9.586695392590676e-06,0.9112910957944632,-2.957792921882788,4.780375113471715
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.2543937526191299,poor,0.269298507640633,0.0061998664509988,0.2785791428943008,0.0045798498402626,34.62099988914503,41.54553385045325,38.24420942993401,29.3515896342582,3.623209540788963,43.94049619979395,0.8327767279535256,0.4069355729488565,3.623209540788963,-82.50016301080717,89.7465820923851
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.3727509586569018,poor,0.3819952101940378,7.440293007912423e-05,0.4131670163018586,1.590136787731271e-05,34.62099988914503,41.54553385045325,43.86934988821746,38.05705043878602,9.248349999072415,44.344389191048286,2.1063263738941758,0.0376543920512017,9.248349999072415,-77.66665281538222,96.16335281352706
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.4869751256305247,poor,0.5078802964072447,5.075438940860087e-08,0.4253467608325653,8.334930335281583e-06,38.24420942993401,29.3515896342582,43.86934988821746,38.05705043878602,5.625140458283454,34.2814066564078,1.6571996128051254,0.1005823390118447,5.625140458283454,-61.56641658827584,72.81669750484275
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.3382124644368758,poor,0.4228468776637267,9.536103630516931e-06,0.4539584169724797,1.6505004247000469e-06,44.64433658825384,27.9535591048976,65.82700341423579,36.88605099215541,21.18266682598197,35.636925123561696,6.003167991484166,3.0576030413870924e-08,21.18266682598197,-48.66570641619896,91.0310400681629
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,102,0.2400115717191091,poor,0.3288071700720011,0.0007403183547062,0.3060712124896099,0.0017569422040635,44.64433658825384,27.9535591048976,69.28352309486148,48.288497074986026,24.63918650660767,47.17530422528079,5.274869762627955,7.597554562104451e-07,24.63918650660767,-67.82440977494268,117.10278278815802
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,102,0.3904868025964453,poor,0.4036253041569276,2.5925280774836964e-05,0.4183691356000249,1.2104438943341294e-05,65.82700341423579,36.88605099215541,69.28352309486148,48.288497074986026,3.456519680625693,47.48165493052864,0.7352131604321955,0.4639134804092251,3.456519680625693,-89.60752398321044,96.52056334446182
task_mean,Dots,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,102,0.6134261424420794,moderate,0.6292499476184671,1.4099527823026722e-12,0.5778480189538087,2.030577594481539e-10,3.933752791554321,2.2802539626350278,4.489494580329114,2.305971713894976,0.5557417887747939,1.9747450715647537,2.8422488659449017,0.0054207582017145,0.5557417887747939,-3.314758551492124,4.426242129041712
