Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,CW_Age_Coef,CW_Age_PValue,CW_Age_Significant
Gap_Before,Hesitation duration (response latency),0.4061533939331335,9.255384810747614,0.3201428532169297,0.4921639346493373,2.1346010598794213e-20,True,1.9211409538914793e-18,True,0.06354337276072601,0.0011333551191240855,True,0.4696967666938595,0.0,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.31063608650342434,7.357326344878207,0.22788228423793702,0.3933898887689117,1.8763025327174413e-13,True,8.443361397228485e-12,True,0.0839105041885633,0.026319630200303437,True,0.3945465906919876,0.0,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.26492322203393415,6.332018664346835,0.18291943418817092,0.3469270098796974,2.419742067670796e-10,True,5.937752061908591e-09,True,-0.03843683584519657,0.32139547220619247,False,0.22648638618873757,5.782308174495654e-07,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.21945708218229107,-6.318625408307143,-0.28753136310291466,-0.15138280126166748,2.6390009164038185e-10,True,5.937752061908591e-09,True,-0.0733056844938625,0.013885133620115732,True,-0.2927627666761536,1.482369782479509e-12,True
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.17452382229819519,-5.926029597484538,-0.23224656668841254,-0.11680107790797783,3.103466748987388e-09,True,5.5862401481772984e-08,True,-0.03789259459376033,0.5036125477591424,False,-0.2124164168919555,0.00029080341667198084,True
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.20394650594906572,-5.894890467504424,-0.271756951938471,-0.13613605995966044,3.74930000284857e-09,True,5.623950004272855e-08,True,0.1188565444315948,0.0628398577478463,False,-0.08508996151747092,0.16420390556871856,False
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.174462099328114,5.144317491717343,0.10799152957155128,0.2409326690846767,2.684951287216538e-07,True,3.4520802264212634e-06,True,0.17704225134882845,0.00025333077608810395,True,0.3515043506769424,7.873150686954489e-08,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.17859212813361527,4.764020771837934,0.10511625808470235,0.25206799818252823,1.8977295646691716e-06,True,1.8977295646691717e-05,True,0.08555385386391051,0.014122088814783395,True,0.2641459819975258,6.971477617412347e-09,True
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.1700493556235504,4.787097884076866,0.1004253903123771,0.23967332093472368,1.6921031749041894e-06,True,1.8977295646691717e-05,True,0.0700367926204261,0.0343386926633159,True,0.2400861482439765,8.835154829966996e-13,True
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.1282179995307777,-4.608464393797637,-0.18274967377318901,-0.07368632528836638,4.056538242686823e-06,True,3.650884418418141e-05,True,-0.06121273704620973,0.15966797086388373,False,-0.18943073657698742,1.6836306642398213e-05,True
mfcc1V_sma3nz_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.16704349788594505,4.535357154764986,0.09485397792444208,0.23923301784744802,5.750608837115179e-06,True,4.7050435940033284e-05,True,0.10583093836510811,0.0037875334014581233,True,0.2728744362510532,4.057247648958651e-09,True
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.17392728518322162,4.458186481461458,0.09746178057127385,0.2503927897951694,8.265598003430714e-06,True,6.199198502573036e-05,True,0.15936408732789842,6.755408103732768e-08,True,0.33329137251112007,4.440892098500626e-16,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.17609682987670766,4.3970428376776125,0.0976009408667555,0.2545927188866598,1.0973569362423077e-05,True,7.597086481677515e-05,True,-0.006344637988107931,0.7774445289599397,False,0.16975219188859972,8.673741640263799e-06,True
