Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,C_Age_Coef,C_Age_PValue,C_Age_Significant,CW_Age_Coef,CW_Age_PValue,CW_Age_Significant
Gap_Before,Hesitation duration (response latency),0.35191069215150284,9.746577011960674,0.2811427747821009,0.42267860952090475,1.90793149931478e-22,True,1.717138349383302e-20,True,0.12491599710556742,9.729770747483393e-09,True,0.4768266892570703,0.0,True
spectralFlux_sma3_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.2197355194017857,7.290312612164409,0.16065964146084846,0.2788113973427229,3.0923664090705045e-13,True,1.391564884081727e-11,True,0.005495046491113857,0.8801881770828672,False,0.22523056589289955,4.2443812353631927e-07,True
loudness_sma3_stddevNorm,Loudness-coefficient of variation [intensity],0.2111079945029161,6.113452324160433,0.14342583272494897,0.2787901562808832,9.749850833928326e-10,True,2.9249552501784978e-08,True,0.18118882330554487,1.1250563522049866e-05,True,0.39229681780846093,0.0,True
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.16361219394860665,-5.217620321023714,-0.22507314365534012,-0.10215124424187319,1.8123649126146804e-07,True,4.077821053383031e-06,True,-0.12125373399930241,7.950101453422353e-05,True,-0.28486592794790905,1.4095391520640987e-12,True
HNRdBACF_sma3nz_amean,Harmonics-to-noise ratio-mean [voice clarity],-0.11324345116878734,-4.850464554208275,-0.15900343184904045,-0.06748347048853423,1.2317264506092907e-06,True,2.2171076110967235e-05,True,-0.10186228393867809,0.07445172342761497,False,-0.21510573510746545,0.000342402031707989,True
loudness_sma3_pctlrange0-2,Loudness-percentile range [intensity],0.12587124396633967,4.075624710819996,0.06533877209299357,0.18640371583968576,4.589097956541218e-05,True,0.0006883646934811826,True,0.22175460942089148,1.8194237840599963e-05,True,0.3476258533872312,7.967195703173502e-08,True
spectralFluxV_sma3nz_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.1390117008482958,3.9287602080523394,0.06966083206678478,0.20836256962980684,8.538492756308115e-05,True,0.001097806211525329,True,-0.07626648860416949,0.027902569524327108,True,0.06274521224412632,0.15665202556611724,False
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0 semitone-coefficient of variation [pitch],0.13785939630459731,3.8961519789821146,0.06850778522406582,0.20721100738512882,9.773307470484006e-05,True,0.0010994970904294507,True,0.19370367595465823,1.6111076704727493e-10,True,0.3315630722592555,4.440892098500626e-16,True
loudness_sma3_percentile20.0,Loudness-20th percentile [intensity],-0.10268683046216925,-3.6689414720789624,-0.15754357572166958,-0.04783008520266894,0.0002435568246414816,True,0.0024355682464148156,True,0.01849511114890415,0.7671417857215644,False,-0.0841917193132651,0.16433276447964218,False
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],0.1186340230838048,3.630801925120175,0.05459233476268792,0.18267571140492167,0.0002825419656683853,True,0.0025428776910154677,True,0.23349919620174722,2.503914385631705e-18,True,0.352133219285552,0.0,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],0.12663884540157774,3.5202915612423347,0.056129874008453526,0.19714781679470195,0.00043107265941963674,True,0.0035269581225243008,True,0.0790549428541166,0.015370747059870425,True,0.20569378825569434,1.9354340352606414e-10,True
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],0.1347063302706084,3.292207463944532,0.05450955949539919,0.2149031010458176,0.000994042528894575,True,0.007455318966709312,True,0.042409190240938144,0.07510075725507621,False,0.17711552051154655,6.177989092881475e-05,True
mfcc1_sma3_amean,MFCC coefficient 1-mean [vocal tract feature],-0.08882552193110223,-3.218945397605464,-0.14291094478868466,-0.034740099073519784,0.0012866298258454858,True,0.00848306821194764,True,-0.0980110270868568,0.0316989834287493,True,-0.18683654901795904,2.3591514780374467e-05,True
mfcc1_sma3_stddevNorm,MFCC coefficient 1-coefficient of variation [vocal tract feature],0.10287138413096764,3.2116853015484605,0.04009191043860898,0.16565085782332628,0.0013195883885251884,True,0.00848306821194764,True,0.15933466212728606,2.1166574804299817e-05,True,0.2622060462582537,1.5076777604150493e-08,True
hammarbergIndexUV_sma3nz_amean,hammarbergIndexUV-mean,0.11863431048177585,3.1380411475615833,0.044536095190697525,0.19273252577285416,0.0017008099898483235,True,0.010204859939089941,True,0.049924307090091116,0.03844236552387722,True,0.16855861757186696,9.092036140856408e-06,True
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.11519941277854906,2.9153848492376735,0.03775137050550341,0.1926474550515947,0.003552501753158811,True,0.01880736222260547,True,0.1412468507804808,4.053334551408533e-05,True,0.2564462635590299,2.1920465442804016e-11,True
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],0.10188924031490626,2.9327015141533304,0.033794035244276904,0.16998444538553562,0.003360267764668761,True,0.01880736222260547,True,0.039901103642119046,0.12256573229343135,False,0.1417903439570253,1.940069843220371e-06,True
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],0.07729447901236551,2.8741068663716454,0.024583433143882977,0.13000552488084804,0.00405171841689476,True,0.0202585920844738,True,0.21916252718611792,0.00040091179967104265,True,0.2964570061984834,8.087245911170271e-05,True
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3-coefficient of variation,0.09809770486876937,2.7697791583648654,0.02868007604369903,0.1675153336938397,0.005609431201421134,True,0.026570989901468528,True,-0.0015920924715995845,0.9453571754127608,False,0.09650561239716979,0.0010219030961526876,True
slopeUV0-500_sma3nz_amean,slopeUV0-500-mean,0.08918912826957504,2.7141157341502375,0.024781155828009813,0.15359710071114024,0.006645294573435461,True,0.029903825580459575,True,0.046752500796644086,0.0663654582204172,False,0.13594162906621912,1.1694980973864233e-05,True
